Participant,Event,Valence,E1,eBR,BR,E2
5,23,2,75,89,71,50
5,24,3,2,25,14,10
5,25,3,1,36,14,0
5,26,3,100,90,29,99
5,27,2,80,50,45,10
5,28,3,54,65,20,10
5,29,2,46,67,66,40
5,30,3,0,19,48,0
5,31,3,80,50,19,10
5,32,3,80,40,33,80
5,33,3,70,60,15,20
5,34,3,50,20,80,80
5,35,3,50,64,17,20
5,36,4,70,70,26,20
5,37,3,80,65,30,80
5,38,3,95,95,71,80
5,39,3,90,80,43,80
5,40,3,2,36,21,10
5,41,3,70,64,17,80
5,42,3,78,67,13,70
5,43,3,32,22,81,10
5,44,3,1,1,19,50
5,45,3,85,62,19,90
5,46,3,70,60,45,60
5,47,3,0,20,20,0
5,48,3,0,10,18,0
5,49,3,0,12,11,0
5,50,3,0,36,38,0
5,51,2,0,56,26,0
6,1,3,50,50,26,50
6,2,2,10,10,20,10
6,3,3,20,20,29,10
6,4,2,100,95,78,100
6,5,2,50,50,56,50
6,6,2,85,85,29,100
6,7,4,10,10,45,10
6,8,3,100,85,75,100
6,9,3,5,10,29,10
6,10,4,99,85,56,100
6,11,4,20,20,31,20
6,12,3,100,100,78,100
6,13,4,50,50,22,10
6,14,2,95,70,41,100
6,15,2,100,75,60,100
6,16,3,55,45,26,60
6,17,2,20,20,43,10
6,18,2,99,85,82,100
6,19,2,100,80,21,100
6,20,2,0,45,40,0
6,21,3,99,99,35,100
6,22,2,65,65,60,60
6,23,2,100,100,71,100
6,24,3,10,10,14,10
6,25,5,100,60,14,100
6,26,3,100,80,29,100
6,27,3,80,80,45,50
6,28,3,19,19,20,20
6,29,2,99,99,66,100
6,30,3,100,39,48,100
6,31,3,50,50,19,40
6,32,2,0,69,33,0
6,33,3,50,50,15,50
6,34,3,100,100,80,100
6,35,2,0,15,17,0
6,36,2,60,60,26,60
6,37,3,67,67,30,50
6,38,2,100,100,71,100
6,39,2,0,60,43,0
6,40,3,100,95,21,100
6,41,2,100,80,17,80
6,42,3,28,58,13,20
6,43,2,50,50,81,50
6,44,3,19,19,19,15
6,45,4,30,30,19,30
6,46,5,0,80,45,100
6,47,3,80,80,20,80
6,48,3,10,50,18,0
6,49,3,0,10,11,10
6,50,5,100,50,38,100
6,51,2,0,20,26,0
7,1,4,10,40,26,10
7,2,4,2,4,20,40
7,3,3,0,12,29,0
7,4,4,100,100,78,100
7,5,4,43,38,56,50
7,6,4,47,45,29,25
7,7,4,15,47,45,15
7,8,4,5,43,75,1
7,9,4,23,43,29,10
7,10,4,10,53,56,20
7,11,3,10,42,31,15
7,12,2,3,25,78,10
7,13,4,0,68,22,0
7,14,2,75,65,41,75
7,15,4,99,83,60,99
7,16,2,23,19,26,20
7,17,2,4,28,43,3
7,18,2,50,43,82,70
7,19,2,0,34,21,0
7,20,3,0,17,40,0
7,21,4,70,60,35,75
7,22,4,89,95,60,50
7,23,2,17,39,71,23
7,24,3,20,20,14,20
7,25,3,2,36,14,10
7,26,3,0,78,29,4
7,27,2,15,27,45,8
7,28,3,19,16,20,20
7,29,2,90,90,66,60
7,30,3,0,23,48,0
7,31,4,0,47,19,0
7,32,4,100,50,33,0
7,33,3,80,34,15,100
7,34,3,69,78,80,43
7,35,2,78,80,17,10
7,36,4,0,58,26,25
7,37,4,25,25,30,60
7,38,3,60,60,71,81
7,39,3,98,75,43,78
7,40,3,45,45,21,25
7,41,3,83,57,17,0
7,42,4,5,27,13,1
7,43,4,50,32,81,86
7,44,3,20,20,19,20
7,45,3,10,25,19,10
7,46,5,50,41,45,75
7,47,4,12,23,20,10
7,48,3,25,30,18,21
7,49,4,2,19,11,2
7,50,5,0,65,38,0
7,51,3,15,4,26,4
8,1,4,23,32,26,27
8,2,2,18,21,20,12
8,3,3,70,74,29,56
8,4,4,100,85,78,100
8,5,4,80,60,56,87
8,6,2,25,30,29,20
8,7,3,15,75,45,29
8,8,3,50,43,75,70
8,9,5,100,69,29,100
8,10,4,50,75,56,33
8,11,4,17,17,31,20
8,12,2,100,90,78,100
8,13,4,18,14,22,13
8,14,2,20,30,41,20
8,15,2,85,65,60,37
8,16,5,40,80,26,73
8,17,2,40,33,43,40
8,18,2,30,44,82,28
8,19,2,42,37,21,74
8,20,2,0,9,40,3
8,21,2,48,26,35,30
8,22,2,80,80,60,40
8,23,2,90,75,71,99
8,24,3,4,8,14,1
8,25,4,62,24,14,66
8,26,3,100,89,29,99
8,27,3,88,32,45,100
8,28,3,23,20,20,28
8,29,2,40,67,66,34
8,30,3,73,40,48,67
8,31,5,20,80,19,18
8,32,5,23,43,33,7
8,33,3,10,40,15,20
8,34,4,88,64,80,79
8,35,2,17,62,17,8
8,36,2,100,80,26,30
8,37,4,88,62,30,30
8,38,3,92,88,71,91
8,39,2,50,22,43,72
8,40,3,1,1,21,4
8,41,3,100,64,17,99
8,42,2,5,14,13,12
8,43,3,0,87,81,100
8,44,3,2,17,19,1
8,45,4,76,23,19,80
8,46,5,100,66,45,100
8,47,3,0,9,20,10
8,48,3,20,15,18,20
8,49,4,20,22,11,14
8,50,3,66,33,38,75
8,51,2,7,29,26,7
9,1,2,80,50,26,40
9,2,2,40,30,20,60
9,3,4,20,40,29,14
9,4,3,90,79,78,60
9,5,5,60,70,56,50
9,6,4,80,50,29,26
9,7,4,100,40,45,85
9,8,2,70,60,75,80
9,9,5,25,20,29,25
9,10,5,90,70,56,58
9,11,4,25,10,31,25
9,12,2,80,80,78,80
9,13,5,50,60,22,30
9,14,2,90,60,41,80
9,15,2,80,40,60,60
9,16,2,20,50,26,56
9,17,2,0,20,43,20
9,18,2,30,10,82,55
9,19,2,24,70,21,25
9,20,2,0,10,40,15
9,21,2,25,25,35,35
9,22,2,100,80,60,80
9,23,2,60,70,71,80
9,24,3,40,30,14,54
9,25,4,45,60,14,24
9,26,4,100,70,29,80
9,27,2,32,23,45,80
9,28,3,40,30,20,15
9,29,3,74,70,66,50
9,30,4,25,45,48,70
9,31,2,80,60,19,85
9,32,2,0,15,33,100
9,33,4,60,30,15,57
9,34,3,100,90,80,60
9,35,2,40,20,17,24
9,36,2,85,50,26,10
9,37,4,80,80,30,75
9,38,2,100,90,71,30
9,39,2,0,57,43,0
9,40,4,75,75,21,35
9,41,2,80,60,17,20
9,42,3,80,80,13,35
9,43,2,10,25,81,75
9,44,3,10,60,19,23
9,45,4,10,25,19,30
9,46,4,100,70,45,100
9,47,4,60,60,20,10
9,48,4,10,5,18,40
9,49,5,9,5,11,2
9,50,4,0,20,38,0
9,51,4,50,50,26,24
10,1,2,50,30,26,50
10,2,2,75,60,20,25
10,3,4,0,25,29,10
10,4,2,100,85,78,100
10,5,5,30,40,56,20
10,6,4,0,20,29,15
10,7,4,100,60,45,100
10,8,4,100,85,75,95
10,9,4,5,20,29,15
10,10,4,15,49,56,20
10,11,5,0,15,31,5
10,12,3,100,90,78,100
10,13,5,0,25,22,0
10,14,2,25,45,41,35
10,15,2,100,80,60,95
10,16,2,5,15,26,10
10,17,2,100,15,43,85
10,18,2,75,44,82,15
10,19,2,100,37,21,95
10,20,2,5,8,40,5
10,21,4,100,65,35,100
10,22,2,100,85,60,85
10,23,2,95,90,71,100
10,24,3,30,30,14,20
10,25,4,20,25,14,30
10,26,3,100,85,29,100
10,27,4,100,85,45,50
10,28,3,30,35,20,20
10,29,2,99,85,66,45
10,30,4,100,45,48,100
10,31,4,0,15,19,0
10,32,5,0,15,33,0
10,33,3,100,40,15,30
10,34,3,25,29,80,65
10,35,4,5,30,17,25
10,36,2,0,70,26,5
10,37,4,100,85,30,75
10,38,2,100,95,71,95
10,39,3,100,70,43,95
10,40,4,60,45,21,60
10,41,3,95,90,17,85
10,42,2,20,20,13,15
10,43,3,5,2,81,60
10,44,3,15,20,19,15
10,45,2,0,65,19,0
10,46,5,100,60,45,100
10,47,5,0,15,20,5
10,48,4,50,50,18,35
10,49,3,0,10,11,0
10,50,5,10,8,38,30
10,51,3,100,85,26,60
11,1,4,50,30,26,50
11,2,5,15,30,20,20
11,3,3,10,60,29,5
11,4,3,40,60,78,40
11,5,5,50,40,56,65
