Participant,Event,Valence,E1,eBR,BR,E2
9,20,2,80,9,40,20
9,21,1,80,60,35,80
9,22,1,99,90,60,90
9,23,2,30,50,71,20
9,24,3,10,18,14,10
9,25,4,10,50,14,10
9,26,3,100,85,29,85
9,27,3,3,30,45,10
9,28,3,10,10,20,20
9,29,3,60,70,66,50
9,30,4,0,5,48,10
9,31,4,90,75,19,10
9,32,4,60,30,33,40
9,33,3,5,20,15,20
9,34,3,60,65,80,60
9,35,3,60,30,17,30
9,36,3,20,30,26,20
9,37,3,70,80,30,30
9,38,3,30,40,71,20
9,39,2,0,70,43,0
9,40,4,0,10,21,1
9,41,2,10,70,17,10
9,42,3,20,40,13,5
9,43,2,40,60,81,20
9,44,3,3,11,19,10
9,45,4,30,30,19,20
9,46,4,0,70,45,0
9,47,3,1,30,20,1
9,48,3,99,29,18,80
9,49,4,5,15,11,3
9,50,2,80,70,38,70
9,51,3,10,35,26,10
10,1,3,40,40,26,26
10,2,5,0,40,20,0
10,3,4,25,30,29,20
10,4,3,100,75,78,75
10,5,5,75,50,56,75
10,6,4,98,50,29,95
10,7,4,10,35,45,5
10,8,4,95,50,75,75
10,9,4,40,40,29,40
10,10,4,95,90,56,75
10,11,4,20,20,31,10
10,12,2,95,95,78,95
10,13,4,10,15,22,10
10,14,2,75,40,41,80
10,15,2,90,75,60,80
10,16,2,20,15,26,20
10,17,1,40,40,43,40
10,18,1,75,70,82,85
10,19,2,30,30,21,75
10,20,2,10,5,40,10
10,21,1,20,20,35,50
10,22,2,100,100,60,80
10,23,2,80,80,71,40
10,24,3,30,30,14,20
10,25,4,100,20,14,95
10,26,3,100,75,29,100
10,27,3,45,30,45,40
10,28,3,23,23,20,20
10,29,3,50,40,66,56
10,30,4,50,5,48,75
10,31,3,75,50,19,60
10,32,4,95,75,33,40
10,33,3,30,30,15,25
10,34,2,75,60,80,80
10,35,3,0,30,17,10
10,36,3,20,20,26,20
10,37,4,90,90,30,75
10,38,3,95,95,71,95
10,39,2,0,40,43,0
10,40,4,0,10,21,0
10,41,3,75,40,17,75
10,42,3,100,15,13,95
10,43,3,75,50,81,80
10,44,3,10,10,19,20
10,45,4,95,40,19,75
10,46,5,75,70,45,40
10,47,3,10,20,20,10
10,48,2,40,20,18,20
10,49,4,5,10,11,5
10,50,4,30,30,38,20
10,51,3,35,50,26,20
11,1,1,15,15,26,20
11,2,4,10,10,20,20
11,3,5,60,50,29,30
11,4,4,80,70,78,70
11,5,4,70,65,56,70
11,6,5,60,50,29,60
11,7,4,35,40,45,25
11,8,3,50,60,75,40
11,9,4,86,35,29,75
11,10,4,15,20,56,15
11,11,5,50,36,31,50
11,12,3,70,70,78,50
11,13,5,35,20,22,35
11,14,1,10,32,41,10
11,15,1,80,50,60,80
11,16,2,70,50,26,20
11,17,2,50,70,43,50
11,18,2,15,18,82,80
11,19,2,80,60,21,24
11,20,1,20,30,40,40
11,21,1,80,60,35,65
11,22,2,90,90,60,70
11,23,2,10,70,71,20
11,24,3,15,20,14,20
11,25,4,45,50,14,25
11,26,3,95,80,29,25
11,27,2,74,70,45,80
11,28,3,80,70,20,50
11,29,2,10,12,66,50
11,30,3,10,20,48,45
11,31,3,10,15,19,80
11,32,4,80,50,33,70
11,33,3,10,15,15,40
11,34,3,80,65,80,75
11,35,1,5,10,17,10
11,36,2,70,70,26,70
11,37,4,35,50,30,30
11,38,2,95,90,71,70
11,39,2,80,70,43,90
11,40,4,95,60,21,95
11,41,3,60,50,17,80
11,42,3,80,75,13,50
11,43,2,75,70,81,80
11,44,3,5,25,19,19
11,45,3,60,40,19,25
11,46,5,90,60,45,90
11,47,2,15,15,20,30
11,48,3,5,10,18,20
11,49,3,3,5,11,5
11,50,2,50,50,38,50
11,51,2,40,10,26,40
12,1,4,60,20,26,60
12,2,4,20,20,20,20
12,3,3,40,10,29,5
12,4,4,100,80,78,100
12,5,4,99,75,56,100
12,6,3,60,50,29,50
12,7,4,20,20,45,40
12,8,3,99,75,75,99
12,9,3,30,30,29,50
12,10,4,40,40,56,40
12,11,4,45,25,31,30
12,12,3,100,100,78,100
12,13,3,10,2,22,5
12,14,2,10,25,41,15
12,15,2,20,20,60,20
12,16,3,15,10,26,10
12,17,1,10,30,43,20
12,18,2,10,50,82,10
12,19,2,30,30,21,10
12,20,3,10,20,40,10
12,21,1,10,20,35,10
12,22,2,60,70,60,60
12,23,2,90,80,71,90
12,24,3,10,10,14,20
12,25,3,75,50,14,20
12,26,4,100,65,29,100
12,27,3,15,30,45,10
12,28,3,10,10,20,14
12,29,2,99,70,66,100
12,30,3,10,10,48,10
12,31,3,60,60,19,50
12,32,3,75,25,33,75
12,33,3,10,50,15,15
12,34,3,10,10,80,10
12,35,3,1,25,17,1
12,36,2,75,75,26,20
12,37,3,60,60,30,20
12,38,2,100,80,71,100
12,39,3,0,30,43,1
12,40,3,2,10,21,10
12,41,3,0,40,17,10
12,42,3,2,25,13,10
12,43,3,100,75,81,100
12,44,3,60,40,19,20
12,45,4,60,20,19,70
12,46,5,100,71,45,100
12,47,3,50,50,20,50
12,48,3,50,25,18,25
12,49,3,1,10,11,10
12,50,4,100,15,38,100
12,51,2,0,30,26,0
13,1,2,1,1,26,0
13,2,5,1,5,20,29
13,3,4,26,0,29,0
13,4,4,60,45,78,20
13,5,5,9,35,56,19
13,6,5,1,19,29,0
13,7,4,10,40,45,35
13,8,4,100,68,75,100
13,9,4,1,12,29,0
13,10,3,90,70,56,75
13,11,4,3,16,31,0
13,12,2,70,80,78,18
13,13,4,20,0,22,0
13,14,2,30,25,41,45
13,15,2,70,30,60,60
13,16,2,30,80,26,45
13,17,2,20,30,43,45
13,18,2,40,70,82,45
13,19,2,60,55,21,40
13,20,2,80,45,40,100
13,21,2,90,90,35,30
13,22,2,80,70,60,30
13,23,2,25,55,71,29
13,24,3,3,29,14,0
13,25,3,2,5,14,9
13,26,3,0,75,29,0
13,27,2,75,35,45,70
13,28,3,17,50,20,25
13,29,2,44,65,66,15
13,30,3,0,34,48,0
13,31,2,90,80,19,15
13,32,4,70,50,33,100
13,33,3,30,60,15,20
13,34,3,55,45,80,80
13,35,2,15,35,17,15
13,36,2,5,20,26,13
13,37,3,29,29,30,30
13,38,3,70,80,71,85
13,39,3,0,70,43,0
13,40,4,20,50,21,20
13,41,3,45,67,17,35
13,42,4,100,45,13,99
13,43,3,100,100,81,100
13,44,3,1,12,19,20
13,45,3,5,10,19,1
13,46,5,1,30,45,36
13,47,3,1,38,20,20
13,48,3,50,30,18,25
13,49,3,0,13,11,0
13,50,4,1,15,38,20
13,51,3,50,50,26,26
14,1,5,10,10,26,20
14,2,5,14,9,20,20
14,3,3,10,30,29,10
14,4,4,90,75,78,85
14,5,4,80,40,56,70
14,6,2,30,30,29,30
14,7,3,0,40,45,0
14,8,4,100,90,75,99
14,9,3,20,20,29,20
14,10,4,100,78,56,99
14,11,4,30,30,31,30
14,12,3,100,89,78,80
14,13,4,10,40,22,10
14,14,2,60,35,41,45
14,15,2,80,60,60,70
14,16,2,35,60,26,60
14,17,2,20,20,43,56
14,18,2,75,50,82,50
14,19,2,60,40,21,30
14,20,1,10,30,40,40
14,21,3,80,80,35,70
14,22,1,70,70,60,75
14,23,2,90,60,71,99
14,24,3,4,5,14,30
14,25,4,40,20,14,40
14,26,4,100,90,29,99
14,27,2,99,78,45,80
14,28,3,60,60,20,20
14,29,3,99,80,66,80
14,30,4,85,35,48,40
14,31,3,10,50,19,88
14,32,5,0,40,33,10
14,33,4,70,50,15,99
14,34,3,50,50,80,50
14,35,2,15,25,17,30
14,36,3,70,70,26,50
14,37,4,80,80,30,30
14,38,3,100,85,71,86
14,39,4,100,78,43,70
14,40,4,80,75,21,80
14,41,3,90,20,17,50
14,42,3,100,60,13,89
14,43,2,100,75,81,80
14,44,3,26,30,19,10
14,45,4,100,27,19,99
14,46,4,50,70,45,60
14,47,3,30,50,20,25
14,48,2,20,45,18,20
14,49,5,100,30,11,99
14,50,3,20,40,38,40
14,51,3,60,60,26,16
15,1,5,50,10,26,50
15,2,5,15,16,20,15
15,3,5,20,100,29,100
15,4,5,90,90,78,100
15,5,5,70,30,56,60
15,6,5,70,70,29,50
15,7,3,0,30,45,0
15,8,4,95,95,75,90
15,9,5,50,40,29,80
15,10,4,50,80,56,20
15,11,5,70,27,31,70
15,12,2,100,80,78,80
15,13,5,6,70,22,80
15,14,2,90,90,41,70
15,15,2,80,80,60,90
15,16,2,34,7,26,10
15,17,1,70,70,43,50
15,18,1,89,76,82,70
15,19,1,3,85,21,7
15,20,2,100,76,40,100
15,21,4,90,90,35,80
15,22,2,95,95,60,80
15,23,3,100,100,71,100
15,24,3,10,10,14,10
15,25,5,50,40,14,60
15,26,3,90,90,29,100
15,27,1,5,40,45,0
15,28,3,40,40,20,40
15,29,3,78,78,66,80
15,30,5,20,15,48,20
15,31,1,100,70,19,0
15,32,5,90,30,33,100
15,33,3,100,25,15,100
15,34,3,5,10,80,40
15,35,2,0,50,17,0
15,36,3,87,87,26,15
15,37,4,80,80,30,30
15,38,2,100,100,71,30
15,39,1,0,80,43,0
15,40,5,100,25,21,100
15,41,3,0,80,17,0
15,42,4,95,95,13,100
15,43,4,100,60,81,100
15,44,3,11,40,19,10
15,45,5,70,50,19,60
15,46,5,100,80,45,100
15,47,4,60,70,20,50
15,48,3,12,12,18,10
15,49,3,5,15,11,5
15,50,4,10,40,38,10
15,51,1,10,76,26,10
16,1,4,10,20,26,10
16,2,4,15,33,20,50
16,3,3,25,0,29,0
16,4,4,100,75,78,100
16,5,4,80,75,56,50
16,6,4,20,50,29,25
16,7,3,50,50,45,50
16,8,3,25,75,75,25
16,9,3,50,35,29,50
16,10,4,75,65,56,75
16,11,4,5,15,31,15
16,12,3,90,60,78,90
16,13,4,50,0,22,0
16,14,2,100,99,41,10
16,15,2,25,10,60,25
16,16,2,10,10,26,20
16,17,2,5,15,43,15
16,18,2,50,25,82,60
16,19,2,0,10,21,10
16,20,2,5,15,40,20
16,21,2,50,65,35,50
16,22,1,90,80,60,75
16,23,2,25,50,71,25
16,24,3,15,15,14,15
16,25,3,0,35,14,10
16,26,3,100,90,29,100
16,27,3,60,60,45,30
16,28,3,25,25,20,15
16,29,2,80,80,66,90
16,30,3,0,33,48,0
16,31,3,50,50,19,25
16,32,3,0,50,33,90
16,33,3,80,50,15,30
16,34,3,10,10,80,20
16,35,3,50,35,17,50
16,36,3,0,50,26,0
16,37,4,40,40,30,40
16,38,2,89,85,71,90
16,39,4,100,60,43,100
16,40,4,80,80,21,60
16,41,3,15,25,17,25
16,42,3,10,25,13,20
16,43,2,35,35,81,60
16,44,3,5,15,19,25
16,45,3,0,15,19,0
16,46,3,0,35,45,0
16,47,5,100,35,20,100
16,48,3,25,35,18,25
16,49,4,0,15,11,0
16,50,4,0,15,38,10
16,51,3,10,50,26,10
17,1,1,6,17,26,5
17,2,4,12,31,20,20
17,3,3,23,7,29,7
17,4,4,95,87,78,98
17,5,4,20,12,56,34
17,6,2,19,29,29,43
17,7,3,32,65,45,76
17,8,3,50,53,75,76
17,9,4,40,32,29,30
17,10,3,79,89,56,34
17,11,5,85,79,31,90
17,12,2,0,93,78,0
17,13,4,20,15,22,7
17,14,2,16,21,41,11
17,15,2,70,61,60,63
17,16,2,20,99,26,99
17,17,2,50,65,43,43
17,18,2,78,78,82,84
17,19,2,45,67,21,45
17,20,2,90,87,40,38
17,21,2,45,43,35,53
17,22,2,85,80,60,78
17,23,2,87,87,71,20
17,24,3,46,56,14,23
17,25,3,13,59,14,14
17,26,4,100,91,29,99
17,27,2,70,65,45,87
17,28,3,66,66,20,72
17,29,2,89,89,66,84
17,30,3,7,21,48,12
17,31,3,25,32,19,87
17,32,4,80,13,33,68
17,33,2,8,16,15,14
17,34,2,5,89,80,15
17,35,2,50,62,17,60
17,36,2,91,91,26,23
17,37,4,27,27,30,27
17,38,2,100,95,71,95
17,39,2,5,78,43,3
17,40,4,95,84,21,98
17,41,3,80,85,17,65
17,42,3,90,85,13,74
17,43,3,90,84,81,90
17,44,3,9,9,19,12
17,45,4,40,50,19,20
17,46,5,93,83,45,78
17,47,3,4,5,20,4
17,48,4,50,45,18,60
17,49,3,0,5,11,0
17,50,4,99,80,38,99
17,51,2,23,32,26,20
18,1,1,10,25,26,10
18,2,5,10,33,20,20
18,3,1,0,37,29,5
18,4,2,100,65,78,100
18,5,5,20,20,56,20
18,6,3,10,15,29,15
18,7,4,85,40,45,85
18,8,2,50,60,75,45
18,9,4,20,20,29,50
18,10,5,100,75,56,100
18,11,4,20,20,31,15
18,12,2,100,75,78,100
18,13,5,0,20,22,0
18,14,2,30,30,41,20
18,15,2,50,60,60,30
18,16,2,25,35,26,25
18,17,1,10,25,43,20
18,18,2,60,50,82,50
18,19,1,0,60,21,0
18,20,2,3,10,40,10
18,21,3,89,79,35,79
18,22,1,75,60,60,75
18,23,1,100,70,71,100
18,24,3,29,29,14,20
18,25,3,17,12,14,60
18,26,5,100,75,29,90
18,27,1,7,25,45,0
18,28,3,37,37,20,25
18,29,1,99,99,66,85
18,30,5,100,55,48,100
18,31,2,80,45,19,10
18,32,5,0,66,33,0
18,33,5,100,45,15,100
18,34,3,0,25,80,20
18,35,3,12,7,17,10
18,36,2,65,65,26,65
18,37,5,20,20,30,20
18,38,2,99,78,71,85
18,39,1,0,10,43,0
18,40,4,75,80,21,75
18,41,2,10,35,17,20
18,42,3,15,23,13,25
18,43,2,70,65,81,5
18,44,3,15,19,19,10
18,45,4,20,18,19,25
18,46,5,100,65,45,100
18,47,4,0,36,20,0
18,48,3,100,55,18,100
18,49,4,0,15,11,0
18,50,5,100,35,38,100
18,51,1,0,30,26,0
19,1,4,55,34,26,69
19,2,5,40,50,20,35
19,3,4,90,79,29,67
19,4,4,88,68,78,89
19,5,5,76,47,56,78
19,6,4,32,45,29,36
19,7,4,55,67,45,48
19,8,3,56,90,75,65
19,9,4,35,49,29,37
19,10,5,100,79,56,100
19,11,4,24,55,31,34
19,12,2,75,86,78,78
19,13,5,55,64,22,55
19,14,2,67,89,41,63
19,15,2,77,47,60,67
19,16,2,70,40,26,67
19,17,2,23,75,43,31
19,18,1,90,84,82,90
19,19,1,3,50,21,3
19,20,2,30,64,40,53
19,21,3,70,64,35,78
19,22,1,65,80,60,80
19,23,1,67,88,71,67
19,24,3,19,20,14,11
19,25,3,44,42,14,54
19,26,4,100,88,29,99
19,27,2,33,45,45,25
19,28,3,65,67,20,34
19,29,2,45,76,66,56
19,30,4,50,57,48,43
19,31,2,10,44,19,10
19,32,4,89,77,33,78
19,33,3,90,90,15,65
19,34,3,45,54,80,56
19,35,2,30,36,17,35
19,36,3,40,76,26,56
19,37,3,67,48,30,57
19,38,2,99,99,71,99
19,39,2,15,43,43,20
19,40,4,20,25,21,17
19,41,2,50,80,17,34
19,42,3,99,79,13,78
19,43,2,30,40,81,57
19,44,3,3,10,19,10
19,45,4,30,33,19,23
19,46,5,80,69,45,78
19,47,3,11,36,20,21
19,48,2,25,34,18,12
19,49,3,20,30,11,11
19,50,3,10,20,38,11
19,51,3,57,45,26,24
20,1,4,0,2,26,0
20,2,5,10,10,20,10
20,3,4,20,20,29,20
20,4,5,100,100,78,100
20,5,5,50,60,56,20
20,6,4,40,30,29,30
20,7,3,50,45,45,45
20,8,3,100,80,75,90
20,9,4,20,45,29,10
20,10,3,80,80,56,50
20,11,4,0,25,31,0
20,12,3,100,100,78,100
20,13,4,0,20,22,10
20,14,1,40,37,41,10
20,15,2,10,10,60,20
20,16,2,10,20,26,10
20,17,2,30,40,43,20
20,18,1,90,60,82,0
20,19,2,0,35,21,0
20,20,1,0,40,40,0
20,21,2,50,60,35,30
20,22,2,75,80,60,20
20,23,1,30,30,71,70
20,24,3,9,12,14,20
20,25,4,50,50,14,20
20,26,3,100,100,29,100
20,27,3,0,20,45,20
