Participant,Event,Valence,E1,eBR,BR,E2
1,1,4,10,10,26,20
1,2,5,10,20,20,20
1,3,3,30,50,29,20
1,4,2,10,50,78,60
1,5,4,60,40,56,70
1,6,4,40,40,29,30
1,7,4,90,60,45,80
1,8,4,99,80,75,70
1,9,4,20,30,29,40
1,10,4,70,60,56,70
1,11,4,60,40,31,40
1,12,2,80,80,78,70
1,13,4,10,20,22,10
1,14,1,60,30,41,50
1,15,1,70,50,60,50
1,16,2,70,20,26,50
1,17,1,70,60,43,40
1,18,2,50,40,82,80
1,19,1,90,40,21,70
1,20,2,70,50,40,70
1,21,1,30,50,35,60
1,22,1,80,80,60,60
1,23,1,60,70,71,70
1,24,3,15,15,14,10
1,25,4,30,20,14,20
1,26,4,90,80,29,70
1,27,3,80,80,45,70
1,28,3,20,20,20,20
1,29,2,70,70,66,70
1,30,2,10,20,48,10
1,31,2,60,70,19,30
1,32,4,50,50,33,30
1,33,3,70,20,15,60
1,34,3,20,30,80,70
1,35,3,50,50,17,50
1,36,2,80,80,26,20
1,37,4,60,60,30,30
1,38,2,70,70,71,80
1,39,3,30,60,43,20
1,40,3,5,30,21,10
1,41,3,80,70,17,60
1,42,3,10,30,13,40
1,43,4,80,50,81,70
1,44,3,20,20,19,20
1,45,4,60,40,19,40
1,46,5,100,70,45,100
1,47,3,90,60,20,90
1,48,2,40,30,18,20
1,49,4,20,20,11,20
1,50,3,40,30,38,40
1,51,2,20,30,26,20
2,1,4,23,46,26,34
2,2,1,13,12,20,2
2,3,3,45,0,29,23
2,4,3,99,99,78,99
2,5,4,85,80,56,78
2,6,3,45,67,29,34
2,7,3,20,80,45,2
2,8,4,89,89,75,99
2,9,2,2,60,29,23
2,10,4,80,70,56,67
2,11,4,44,42,31,56
2,12,3,89,89,78,99
2,13,4,34,1,22,44
2,14,1,20,60,41,34
2,15,4,78,68,60,99
2,16,2,99,89,26,78
2,17,2,15,40,43,23
2,18,2,80,50,82,99
2,19,1,80,60,21,56
2,20,2,88,76,40,67
2,21,3,100,90,35,99
2,22,1,90,78,60,99
2,23,2,89,89,71,99
2,24,4,67,34,14,89
2,25,3,67,45,14,34
2,26,4,99,89,29,99
2,27,3,68,56,45,78
2,28,4,1,36,20,78
2,29,2,99,99,66,99
2,30,4,80,60,48,99
2,31,2,90,70,19,89
2,32,3,24,23,33,89
2,33,4,45,35,15,88
2,34,3,1,1,80,1
2,35,3,90,70,17,2
2,36,2,2,56,26,12
2,37,4,99,99,30,99
2,38,2,99,99,71,99
2,39,2,99,56,43,56
2,40,3,99,67,21,99
2,41,3,99,80,17,99
2,42,4,0,0,13,3
2,43,4,78,57,81,99
2,44,4,99,56,19,67
2,45,5,99,30,19,99
2,46,5,89,78,45,99
2,47,3,1,35,20,2
2,48,2,99,34,18,2
2,49,4,45,35,11,45
2,50,4,20,30,38,43
2,51,3,2,54,26,12
3,1,1,0,20,26,20
3,2,4,30,20,20,20
3,3,4,95,20,29,100
3,4,4,100,65,78,100
3,5,5,10,10,56,65
3,6,4,85,30,29,20
3,7,4,0,65,45,0
3,8,4,100,75,75,100
3,9,4,25,33,29,15
3,10,4,25,15,56,50
3,11,4,5,10,31,15
3,12,3,50,85,78,65
3,13,4,15,15,22,20
3,14,2,15,25,41,33
3,15,2,75,85,60,20
3,16,2,80,85,26,20
3,17,2,15,33,43,30
3,18,2,30,65,82,25
3,19,2,0,10,21,20
3,20,2,0,31,40,0
3,21,2,15,40,35,15
3,22,1,65,65,60,25
3,23,2,5,45,71,50
3,24,3,23,23,14,25
3,25,5,100,33,14,100
3,26,3,100,85,29,100
3,27,3,60,85,45,50
3,28,3,15,15,20,15
3,29,3,65,85,66,50
3,30,4,100,35,48,100
3,31,2,25,40,19,25
3,32,4,0,20,33,0
3,33,3,100,35,15,0
3,34,3,23,23,80,75
3,35,3,0,75,17,0
3,36,2,0,25,26,50
3,37,4,65,65,30,50
3,38,3,100,100,71,50
3,39,2,0,10,43,65
3,40,4,95,60,21,100
3,41,3,100,65,17,100
3,42,3,5,20,13,15
3,43,3,90,85,81,100
3,44,3,100,25,19,25
3,45,4,33,15,19,15
3,46,4,100,60,45,100
3,47,3,10,20,20,10
3,48,2,15,30,18,10
3,49,3,0,10,11,0
3,50,5,0,12,38,10
3,51,2,0,20,26,20
4,1,1,2,30,26,10
4,2,4,25,15,20,10
4,3,3,0,15,29,0
4,4,5,100,80,78,100
4,5,3,75,50,56,50
4,6,3,85,62,29,80
4,7,3,0,30,45,0
4,8,2,50,80,75,50
4,9,4,30,12,29,30
4,10,5,100,72,56,100
4,11,4,30,40,31,30
4,12,2,85,75,78,100
4,13,3,0,12,22,0
4,14,2,50,60,41,30
4,15,2,75,60,60,30
4,16,2,32,42,26,30
4,17,2,10,35,43,30
4,18,2,10,35,82,10
4,19,1,0,20,21,0
4,20,1,0,10,40,0
4,21,2,20,35,35,30
4,22,2,85,90,60,75
4,23,2,75,82,71,75
4,24,3,15,7,14,14
4,25,2,5,15,14,10
4,26,1,0,75,29,0
4,27,1,0,15,45,20
4,28,3,10,10,20,20
4,29,1,95,85,66,100
4,30,2,0,25,48,0
4,31,2,80,22,19,20
4,32,4,100,40,33,100
4,33,4,90,40,15,75
4,34,1,0,5,80,0
4,35,1,0,20,17,0
4,36,3,75,82,26,60
4,37,4,95,85,30,30
4,38,2,100,100,71,100
4,39,3,50,40,43,85
4,40,5,100,65,21,100
4,41,2,0,70,17,0
4,42,3,25,35,13,20
4,43,2,60,89,81,20
4,44,3,10,10,19,20
4,45,3,50,45,19,50
4,46,5,100,65,45,100
4,47,3,0,20,20,0
4,48,2,100,60,18,100
4,49,3,15,20,11,10
4,50,1,0,15,38,0
4,51,1,0,30,26,0
5,1,5,10,16,26,16
5,2,5,0,13,20,3
5,3,4,22,2,29,5
5,4,5,100,73,78,100
5,5,4,80,55,56,64
5,6,4,52,35,29,71
5,7,5,100,45,45,100
5,8,3,100,100,75,62
5,9,2,5,30,29,8
5,10,5,82,76,56,85
5,11,4,0,18,31,3
5,12,3,90,90,78,76
5,13,4,7,0,22,4
5,14,2,62,28,41,72
5,15,1,83,43,60,62
5,16,1,22,20,26,12
5,17,1,12,28,43,34
5,18,1,85,82,82,85
5,19,2,12,55,21,19
5,20,1,0,17,40,0
5,21,1,55,56,35,55
5,22,1,72,72,60,84
5,23,1,80,74,71,75
5,24,3,12,20,14,4
5,25,5,100,34,14,100
5,26,5,100,63,29,100
5,27,2,45,37,45,35
5,28,3,40,43,20,7
5,29,2,40,65,66,73
5,30,5,100,23,48,100
5,31,2,2,32,19,25
5,32,5,82,48,33,85
5,33,2,5,22,15,24
5,34,2,8,15,80,21
5,35,2,0,27,17,5
5,36,2,65,65,26,13
5,37,4,85,55,30,13
5,38,2,100,76,71,90
5,39,2,0,12,43,0
5,40,5,50,43,21,50
5,41,2,50,35,17,24
5,42,4,62,28,13,45
5,43,2,50,62,81,46
5,44,3,8,13,19,1
5,45,4,22,35,19,22
5,46,5,100,56,45,100
5,47,2,0,7,20,2
5,48,3,2,8,18,16
5,49,4,10,25,11,12
5,50,3,5,65,38,17
5,51,3,5,37,26,16
6,1,5,3,3,26,15
6,2,5,4,5,20,20
6,3,5,50,1,29,5
6,4,4,99,50,78,88
6,5,4,75,50,56,70
6,6,4,25,20,29,25
6,7,3,70,55,45,25
6,8,4,80,70,75,90
6,9,3,15,50,29,10
6,10,4,25,56,56,25
6,11,4,75,20,31,75
6,12,3,75,75,78,75
6,13,4,15,5,22,5
6,14,2,15,25,41,15
6,15,2,25,55,60,15
6,16,3,25,5,26,15
6,17,2,10,30,43,15
6,18,2,10,20,82,5
6,19,2,75,50,21,25
6,20,2,1,20,40,5
6,21,2,50,60,35,35
6,22,2,85,75,60,80
6,23,2,25,60,71,25
6,24,3,10,10,14,10
6,25,4,5,20,14,10
6,26,3,90,75,29,99
6,27,2,65,60,45,99
6,28,3,20,20,20,10
6,29,3,99,40,66,99
6,30,4,5,25,48,5
6,31,3,80,75,19,50
6,32,3,2,20,33,80
6,33,3,1,25,15,1
6,34,2,99,50,80,99
6,35,2,5,40,17,20
6,36,3,90,90,26,10
6,37,3,50,75,30,30
6,38,3,25,15,71,75
6,39,3,90,70,43,99
6,40,4,10,10,21,15
6,41,3,70,40,17,50
6,42,3,1,30,13,20
6,43,2,79,25,81,99
6,44,3,15,15,19,10
6,45,5,75,30,19,75
6,46,4,100,75,45,100
6,47,3,20,10,20,15
6,48,2,10,25,18,15
6,49,4,10,30,11,10
6,50,2,1,25,38,25
6,51,3,60,50,26,20
7,1,4,40,50,26,40
7,2,5,10,10,20,10
7,3,3,0,40,29,0
7,4,4,100,95,78,90
7,5,4,50,50,56,60
7,6,4,20,20,29,25
7,7,4,100,50,45,100
7,8,4,40,40,75,50
7,9,4,90,40,29,75
7,10,4,40,40,56,40
7,11,4,20,30,31,35
7,12,2,70,70,78,70
7,13,4,0,20,22,0
7,14,2,30,30,41,35
7,15,1,30,30,60,30
7,16,2,15,35,26,30
7,17,1,12,12,43,25
7,18,1,35,50,82,10
7,19,1,50,55,21,50
7,20,2,15,45,40,20
7,21,2,40,40,35,40
7,22,1,50,50,60,50
7,23,1,30,50,71,10
7,24,4,10,10,14,15
7,25,2,20,35,14,30
7,26,4,100,48,29,90
7,27,2,50,50,45,20
7,28,3,45,45,20,30
7,29,2,60,60,66,70
7,30,3,0,35,48,0
7,31,3,50,50,19,70
7,32,3,80,20,33,80
7,33,3,80,65,15,30
7,34,2,80,80,80,70
7,35,3,40,50,17,50
7,36,2,70,70,26,70
7,37,4,15,15,30,15
7,38,2,95,95,71,75
7,39,2,10,20,43,10
7,40,4,100,70,21,95
7,41,3,80,30,17,50
7,42,3,20,25,13,65
7,43,1,20,18,81,40
7,44,3,50,50,19,60
7,45,5,25,25,19,40
7,46,5,100,90,45,100
7,47,3,0,20,20,0
7,48,4,80,30,18,80
7,49,5,50,25,11,50
7,50,3,0,15,38,0
7,51,2,0,80,26,10
8,1,5,0,10,26,15
8,2,5,20,15,20,20
8,3,4,20,50,29,20
8,4,4,75,55,78,70
8,5,5,15,45,56,15
8,6,5,100,10,29,100
8,7,4,95,70,45,100
8,8,4,100,80,75,86
8,9,4,70,50,29,50
8,10,4,80,80,56,70
8,11,5,40,50,31,30
8,12,2,100,91,78,100
8,13,4,0,40,22,0
8,14,2,60,60,41,30
8,15,3,95,66,60,90
8,16,3,10,30,26,20
8,17,1,13,26,43,20
8,18,1,100,70,82,80
8,19,5,100,60,21,80
8,20,2,100,40,40,100
8,21,3,15,40,35,30
8,22,2,100,100,60,95
8,23,2,95,95,71,40
8,24,3,10,15,14,10
8,25,5,100,70,14,95
8,26,3,0,75,29,10
8,27,1,80,95,45,90
8,28,3,60,60,20,30
8,29,2,80,70,66,55
8,30,5,100,70,48,100
8,31,2,95,75,19,50
8,32,5,50,90,33,30
8,33,4,95,40,15,30
8,34,1,90,80,80,80
8,35,2,80,40,17,10
8,36,3,60,70,26,15
8,37,3,90,70,30,40
8,38,2,100,80,71,48
8,39,2,30,40,43,40
8,40,4,0,30,21,0
8,41,3,100,88,17,100
8,42,3,100,50,13,15
8,43,2,100,100,81,95
8,44,3,20,30,19,20
8,45,3,20,40,19,20
8,46,5,0,50,45,80
8,47,3,20,60,20,20
8,48,3,100,30,18,80
8,49,4,0,17,11,0
8,50,2,10,40,38,9
8,51,4,30,40,26,20
9,1,2,20,10,26,30
9,2,5,5,10,20,10
9,3,5,85,100,29,99
9,4,4,10,15,78,10
9,5,5,2,30,56,10
9,6,4,5,40,29,40
9,7,2,10,70,45,0
9,8,4,20,50,75,70
9,9,4,50,30,29,50
9,10,4,10,40,56,10
9,11,4,20,30,31,30
9,12,2,0,85,78,0
9,13,5,30,99,22,99
9,14,2,5,29,41,30
9,15,2,80,70,60,80
9,16,2,11,5,26,5
9,17,1,30,25,43,80
9,18,2,30,40,82,40
9,19,1,5,60,21,20
