"Participant","Event","E1","eBR","BR","Valence","E2","trialtype","signed_EE","abs_EE","direction","update"
52,9,20,25,65,3,16,"neutral",-45,45,1,-4
52,10,30,40,55,3,38,"neutral",-25,25,1,8
52,11,3,3,52,1,38,"negative",-49,49,1,35
52,12,15,30,48,2,23,"negative",-33,33,1,8
52,13,8,15,30,3,56,"neutral",-22,22,1,48
52,14,77,60,55,3,29,"neutral",22,22,-1,48
52,15,65,40,42,3,20,"neutral",23,23,-1,45
52,16,75,77,32,1,21,"negative",43,43,-1,54
52,17,55,60,41,4,49,"positive",14,14,-1,6
52,18,65,65,48,3,28,"neutral",17,17,-1,37
52,19,40,50,49,4,55,"positive",-9,9,1,15
52,20,8,15,44,3,55,"neutral",-36,36,1,47
52,21,40,60,33,4,26,"positive",7,7,-1,14
52,22,40,60,51,4,55,"positive",-11,11,1,15
52,23,10,20,37,2,39,"negative",-27,27,1,29
52,24,60,55,43,3,19,"neutral",17,17,-1,41
52,25,40,50,39,5,50,"positive",1,1,-1,-10
52,26,70,65,35,2,25,"negative",35,35,-1,45
52,27,60,55,30,3,17,"neutral",30,30,-1,43
52,28,65,60,70,5,39,"positive",-5,5,1,-26
52,29,35,35,10,2,23,"negative",25,25,-1,12
52,30,30,50,23,3,41,"neutral",7,7,-1,-11
52,31,70,65,23,3,32,"neutral",47,47,-1,38
52,32,65,60,36,2,36,"negative",29,29,-1,29
52,33,70,70,33,3,61,"neutral",37,37,-1,9
52,34,20,30,36,4,44,"positive",-16,16,1,24
52,35,70,65,45,2,26,"negative",25,25,-1,44
52,36,77,70,43,2,32,"negative",34,34,-1,45
52,37,77,70,38,2,23,"negative",39,39,-1,54
52,38,15,20,33,3,22,"neutral",-18,18,1,7
52,39,40,50,47,4,46,"positive",-7,7,1,6
53,1,5,5,56,5,5,"positive",-51,51,1,0
53,2,4,4,29,4,4,"positive",-25,25,1,0
53,3,3,3,20,5,3,"positive",-17,17,1,0
53,4,5,5,17,3,5,"neutral",-12,12,1,0
53,5,5,5,38,5,5,"positive",-33,33,1,0
53,6,3,4,26,4,3,"positive",-23,23,1,0
53,7,3,3,62,3,3,"neutral",-59,59,1,0
53,8,3,3,59,5,3,"positive",-56,56,1,0
53,9,3,3,65,2,3,"negative",-62,62,1,0
53,10,3,3,55,1,3,"negative",-52,52,1,0
53,11,3,3,52,1,3,"negative",-49,49,1,0
53,12,3,3,48,4,3,"positive",-45,45,1,0
53,13,3,3,30,2,3,"negative",-27,27,1,0
53,14,3,5,55,2,4,"negative",-52,52,1,1
53,15,5,5,42,5,5,"positive",-37,37,1,0
53,16,5,4,32,3,4,"neutral",-27,27,1,-1
53,17,3,3,41,3,3,"neutral",-38,38,1,0
53,18,5,5,48,4,3,"positive",-43,43,1,-2
53,19,3,3,49,3,3,"neutral",-46,46,1,0
53,20,3,3,44,3,3,"neutral",-41,41,1,0
53,21,5,4,33,5,4,"positive",-28,28,1,-1
53,22,5,5,51,2,3,"negative",-46,46,1,-2
53,23,3,3,37,3,3,"neutral",-34,34,1,0
53,24,3,3,43,5,3,"positive",-40,40,1,0
53,25,3,4,39,5,4,"positive",-36,36,1,1
53,26,5,3,35,3,3,"neutral",-30,30,1,-2
53,27,3,3,30,3,3,"neutral",-27,27,1,0
53,28,5,5,70,4,3,"positive",-65,65,1,-2
53,29,3,3,10,4,3,"positive",-7,7,1,0
53,30,5,4,23,4,4,"positive",-18,18,1,-1
53,31,5,5,23,3,4,"neutral",-18,18,1,-1
53,32,4,3,36,3,3,"neutral",-32,32,1,-1
53,33,3,3,33,4,3,"positive",-30,30,1,0
53,34,3,3,36,3,3,"neutral",-33,33,1,0
53,35,3,3,45,5,3,"positive",-42,42,1,0
53,36,3,3,43,2,3,"negative",-40,40,1,0
53,37,3,3,38,3,4,"neutral",-35,35,1,1
53,38,3,3,33,2,3,"negative",-30,30,1,0
53,39,3,3,47,4,4,"positive",-44,44,1,1
54,1,15,50,56,4,15,"positive",-41,41,1,0
54,2,20,50,29,4,30,"positive",-9,9,1,10
54,3,25,25,20,3,25,"neutral",5,5,-1,0
54,4,15,50,17,2,15,"negative",-2,2,1,0
54,5,15,30,38,1,20,"negative",-23,23,1,5
54,6,30,40,26,4,30,"positive",4,4,-1,0
54,7,55,50,62,4,60,"positive",-7,7,1,5
54,8,5,30,59,3,10,"neutral",-54,54,1,5
54,9,20,30,65,3,30,"neutral",-45,45,1,10
54,10,15,15,55,3,10,"neutral",-40,40,1,-5
54,11,75,70,52,4,50,"positive",23,23,-1,25
54,12,60,50,48,3,70,"neutral",12,12,-1,-10
54,13,10,20,30,3,20,"neutral",-20,20,1,10
54,14,60,50,55,4,35,"positive",5,5,-1,25
54,15,70,40,42,3,70,"neutral",28,28,-1,0
54,16,60,50,32,3,65,"neutral",28,28,-1,-5
54,17,25,40,41,3,35,"neutral",-16,16,1,10
54,18,30,30,48,3,30,"neutral",-18,18,1,0
54,19,40,60,49,4,55,"positive",-9,9,1,15
54,20,35,35,44,2,30,"negative",-9,9,1,-5
54,21,25,40,33,3,30,"neutral",-8,8,1,5
54,22,40,60,51,3,15,"neutral",-11,11,1,-25
54,23,45,45,37,3,40,"neutral",8,8,-1,5
54,24,50,50,43,3,40,"neutral",7,7,-1,10
54,25,60,60,39,4,35,"positive",21,21,-1,25
54,26,35,50,35,3,30,"neutral",0,0,0,0
54,27,15,25,30,3,30,"neutral",-15,15,1,15
54,28,75,70,70,3,70,"neutral",5,5,-1,5
54,29,35,35,10,3,15,"neutral",25,25,-1,20
54,30,20,60,23,3,15,"neutral",-3,3,1,-5
54,31,25,40,23,3,45,"neutral",2,2,-1,-20
54,32,10,20,36,2,10,"negative",-26,26,1,0
54,33,20,60,33,2,20,"negative",-13,13,1,0
54,34,20,35,36,2,20,"negative",-16,16,1,0
54,35,10,60,45,3,5,"neutral",-35,35,1,-5
54,36,15,35,43,2,5,"negative",-28,28,1,-10
54,37,5,35,38,4,75,"positive",-33,33,1,70
54,38,40,40,33,3,20,"neutral",7,7,-1,20
54,39,20,40,47,2,33,"negative",-27,27,1,13
55,1,73,65,56,3,70,"neutral",17,17,-1,3
55,2,34,25,29,3,33,"neutral",5,5,-1,1
55,3,8,8,20,3,15,"neutral",-12,12,1,7
55,4,12,13,17,2,12,"negative",-5,5,1,0
55,5,15,34,38,3,15,"neutral",-23,23,1,0
55,6,25,34,26,3,20,"neutral",-1,1,1,-5
55,7,20,23,62,3,45,"neutral",-42,42,1,25
55,8,55,45,59,3,44,"neutral",-4,4,1,-11
55,9,5,12,65,2,12,"negative",-60,60,1,7
55,10,40,35,55,2,35,"negative",-15,15,1,-5
55,11,55,60,52,2,45,"negative",3,3,-1,10
55,12,23,22,48,3,32,"neutral",-25,25,1,9
55,13,21,23,30,3,33,"neutral",-9,9,1,12
55,14,40,45,55,3,33,"neutral",-15,15,1,-7
55,15,25,24,42,3,24,"neutral",-17,17,1,-1
55,16,65,65,32,3,34,"neutral",33,33,-1,31
55,17,30,50,41,3,34,"neutral",-11,11,1,4
55,18,36,43,48,3,34,"neutral",-12,12,1,-2
55,19,29,43,49,3,34,"neutral",-20,20,1,5
55,20,25,34,44,3,22,"neutral",-19,19,1,-3
55,21,55,45,33,3,56,"neutral",22,22,-1,-1
55,22,60,65,51,2,56,"negative",9,9,-1,4
55,23,20,20,37,2,24,"negative",-17,17,1,4
55,24,43,25,43,3,33,"neutral",0,0,0,0
55,25,24,20,39,3,45,"neutral",-15,15,1,21
55,26,55,55,35,3,45,"neutral",20,20,-1,10
55,27,45,50,30,3,33,"neutral",15,15,-1,12
55,28,55,60,70,3,55,"neutral",-15,15,1,0
55,29,24,33,10,3,24,"neutral",14,14,-1,0
55,30,4,5,23,3,15,"neutral",-19,19,1,11
55,31,10,10,23,3,23,"neutral",-13,13,1,13
55,32,4,7,36,2,15,"negative",-32,32,1,11
55,33,58,56,33,3,55,"neutral",25,25,-1,3
55,34,21,20,36,3,25,"neutral",-15,15,1,4
55,35,70,56,45,4,70,"positive",25,25,-1,0
55,36,40,34,43,3,23,"neutral",-3,3,1,-17
55,37,24,35,38,3,33,"neutral",-14,14,1,9
55,38,24,34,33,3,34,"neutral",-9,9,1,10
55,39,44,43,47,3,44,"neutral",-3,3,1,0
56,1,50,50,56,4,70,"positive",-6,6,1,20
56,2,54,69,29,3,35,"neutral",25,25,-1,19
56,3,77,77,20,4,66,"positive",57,57,-1,11
56,4,65,60,17,3,77,"neutral",48,48,-1,-12
56,5,70,77,38,3,47,"neutral",32,32,-1,23
56,6,20,50,26,3,65,"neutral",-6,6,1,45
