"Participant","Event","E1","eBR","BR","Valence","E2","trialtype","signed_EE","abs_EE","direction","update"
61,25,55,65,39,3,50,"neutral",16,16,-1,5
61,26,45,65,35,3,3,"neutral",10,10,-1,42
61,27,50,65,30,5,40,"positive",20,20,-1,10
61,28,40,30,70,4,4,"positive",-30,30,1,-36
61,29,60,50,10,4,4,"positive",50,50,-1,56
61,30,50,45,23,4,4,"positive",27,27,-1,46
61,31,5,75,23,4,5,"positive",-18,18,1,0
61,32,3,6,36,4,4,"positive",-33,33,1,1
61,33,50,45,33,3,5,"neutral",17,17,-1,45
61,34,40,50,36,4,4,"positive",4,4,-1,36
61,35,45,50,45,4,39,"positive",0,0,0,0
61,36,49,59,43,5,3,"positive",6,6,-1,46
61,37,45,50,38,3,4,"neutral",7,7,-1,41
61,38,40,30,33,4,4,"positive",7,7,-1,36
61,39,50,30,47,3,4,"neutral",3,3,-1,46
62,1,70,35,56,4,70,"positive",14,14,-1,0
62,2,3,53,29,1,10,"negative",-26,26,1,7
62,3,57,57,20,3,27,"neutral",37,37,-1,30
62,4,35,45,17,3,25,"neutral",18,18,-1,10
62,5,65,65,38,1,3,"negative",27,27,-1,62
62,6,60,56,26,2,70,"negative",34,34,-1,-10
62,7,30,30,62,3,40,"neutral",-32,32,1,10
62,8,60,60,59,3,60,"neutral",1,1,-1,0
62,9,40,55,65,3,60,"neutral",-25,25,1,20
62,10,63,63,55,1,60,"negative",8,8,-1,3
62,11,67,67,52,5,60,"positive",15,15,-1,7
62,12,65,65,48,3,57,"neutral",17,17,-1,8
62,13,3,15,30,4,3,"positive",-27,27,1,0
62,14,40,60,55,3,30,"neutral",-15,15,1,-10
62,15,6,63,42,2,6,"negative",-36,36,1,0
62,16,60,60,32,4,56,"positive",28,28,-1,4
62,17,67,67,41,3,55,"neutral",26,26,-1,12
62,18,7,7,48,3,45,"neutral",-41,41,1,38
62,19,20,20,49,3,67,"neutral",-29,29,1,47
62,20,35,35,44,2,36,"negative",-9,9,1,1
62,21,70,50,33,3,45,"neutral",37,37,-1,25
62,22,45,55,51,2,37,"negative",-6,6,1,-8
62,23,20,20,37,3,36,"neutral",-17,17,1,16
62,24,64,64,43,3,40,"neutral",21,21,-1,24
62,25,45,45,39,3,43,"neutral",6,6,-1,2
62,26,67,67,35,3,68,"neutral",32,32,-1,-1
62,27,60,60,30,3,30,"neutral",30,30,-1,30
62,28,70,70,70,3,46,"neutral",0,0,0,0
62,29,65,60,10,4,46,"positive",55,55,-1,19
62,30,23,23,23,3,23,"neutral",0,0,0,0
62,31,57,57,23,3,30,"neutral",34,34,-1,27
62,32,34,34,36,2,40,"negative",-2,2,1,6
62,33,60,67,33,3,25,"neutral",27,27,-1,35
62,34,37,37,36,3,30,"neutral",1,1,-1,7
62,35,40,60,45,2,15,"negative",-5,5,1,-25
62,36,10,57,43,2,10,"negative",-33,33,1,0
62,37,70,70,38,3,49,"neutral",32,32,-1,21
62,38,3,3,33,3,40,"neutral",-30,30,1,37
62,39,47,47,47,2,35,"negative",0,0,0,0
63,1,10,10,56,3,3,"neutral",-46,46,1,-7
63,2,5,20,29,5,3,"positive",-24,24,1,-2
63,3,15,20,20,3,25,"neutral",-5,5,1,10
63,4,25,30,17,3,40,"neutral",8,8,-1,-15
63,5,15,28,38,4,20,"positive",-23,23,1,5
63,6,45,30,26,4,33,"positive",19,19,-1,12
63,7,15,40,62,3,50,"neutral",-47,47,1,35
63,8,20,60,59,3,60,"neutral",-39,39,1,40
63,9,40,40,65,2,45,"negative",-25,25,1,5
63,10,10,30,55,2,10,"negative",-45,45,1,0
63,11,77,70,52,3,60,"neutral",25,25,-1,17
63,12,45,40,48,3,60,"neutral",-3,3,1,15
63,13,10,10,30,3,40,"neutral",-20,20,1,30
63,14,65,60,55,4,60,"positive",10,10,-1,5
63,15,10,20,42,3,5,"neutral",-32,32,1,-5
63,16,5,60,32,3,5,"neutral",-27,27,1,0
63,17,35,40,41,3,65,"neutral",-6,6,1,30
63,18,60,60,48,3,60,"neutral",12,12,-1,0
63,19,50,60,49,3,30,"neutral",1,1,-1,20
63,20,45,40,44,3,45,"neutral",1,1,-1,0
63,21,25,40,33,4,30,"positive",-8,8,1,5
63,22,50,60,51,3,25,"neutral",-1,1,1,-25
63,23,8,15,37,2,15,"negative",-29,29,1,7
63,24,70,70,43,3,40,"neutral",27,27,-1,30
63,25,70,60,39,3,65,"neutral",31,31,-1,5
63,26,70,70,35,3,35,"neutral",35,35,-1,35
63,27,30,50,30,4,35,"positive",0,0,0,0
63,28,60,35,70,3,55,"neutral",-10,10,1,-5
63,29,15,20,10,3,15,"neutral",5,5,-1,0
63,30,66,66,23,3,35,"neutral",43,43,-1,31
63,31,40,40,23,3,35,"neutral",17,17,-1,5
63,32,20,30,36,3,30,"neutral",-16,16,1,10
63,33,30,60,33,3,15,"neutral",-3,3,1,-15
63,34,15,15,36,3,15,"neutral",-21,21,1,0
63,35,3,60,45,3,3,"neutral",-42,42,1,0
63,36,20,60,43,3,10,"neutral",-23,23,1,-10
63,37,30,40,38,3,15,"neutral",-8,8,1,-15
63,38,30,40,33,3,45,"neutral",-3,3,1,15
63,39,30,60,47,2,40,"negative",-17,17,1,10
64,1,3,66,56,2,3,"negative",-53,53,1,0
64,2,30,50,29,5,50,"positive",1,1,-1,-20
64,3,23,23,20,3,20,"neutral",3,3,-1,3
64,4,10,22,17,3,26,"neutral",-7,7,1,16
64,5,40,23,38,5,50,"positive",2,2,-1,-10
64,6,3,24,26,1,3,"negative",-23,23,1,0
64,7,3,5,62,3,58,"neutral",-59,59,1,55
64,8,40,35,59,3,64,"neutral",-19,19,1,24
64,9,7,8,65,1,62,"negative",-58,58,1,55
64,10,75,69,55,1,68,"negative",20,20,-1,7
64,11,77,70,52,4,3,"positive",25,25,-1,74
64,12,30,36,48,3,33,"neutral",-18,18,1,3
64,13,5,7,30,2,34,"negative",-25,25,1,29
64,14,15,24,55,3,47,"neutral",-40,40,1,32
64,15,33,33,42,3,50,"neutral",-9,9,1,17
64,16,77,70,32,3,64,"neutral",45,45,-1,13
64,17,72,69,41,3,38,"neutral",31,31,-1,34
64,18,70,70,48,3,33,"neutral",22,22,-1,37
64,19,65,60,49,5,30,"positive",16,16,-1,35
64,20,26,41,44,3,31,"neutral",-18,18,1,5
64,21,70,60,33,3,28,"neutral",37,37,-1,42
64,22,40,31,51,4,58,"positive",-11,11,1,18
64,23,45,40,37,3,30,"neutral",8,8,-1,15
64,24,57,51,43,4,40,"positive",14,14,-1,17
64,25,35,40,39,3,47,"neutral",-4,4,1,12
64,26,30,37,35,3,52,"neutral",-5,5,1,22
64,27,45,60,30,3,29,"neutral",15,15,-1,16
64,28,64,60,70,3,55,"neutral",-6,6,1,-9
64,29,40,33,10,5,17,"positive",30,30,-1,23
64,30,27,27,23,3,23,"neutral",4,4,-1,4
64,31,15,10,23,3,31,"neutral",-8,8,1,16
64,32,4,5,36,3,37,"neutral",-32,32,1,33
64,33,37,50,33,3,30,"neutral",4,4,-1,7
64,34,18,23,36,3,25,"neutral",-18,18,1,7
64,35,50,50,45,3,50,"neutral",5,5,-1,0
64,36,3,45,43,1,3,"negative",-40,40,1,0
64,37,71,62,38,3,26,"neutral",33,33,-1,45
64,38,65,65,33,3,55,"neutral",32,32,-1,10
64,39,60,40,47,2,39,"negative",13,13,-1,21
65,1,3,3,56,4,3,"positive",-53,53,1,0
65,2,20,35,29,5,48,"positive",-9,9,1,28
65,3,41,41,20,4,41,"positive",21,21,-1,0
65,4,65,41,17,3,46,"neutral",48,48,-1,19
65,5,3,56,38,1,3,"negative",-35,35,1,0
65,6,20,20,26,1,3,"negative",-6,6,1,-17
65,7,55,56,62,5,69,"positive",-7,7,1,14
65,8,46,45,59,4,59,"positive",-13,13,1,13
65,9,30,30,65,2,65,"negative",-35,35,1,35
65,10,10,14,55,1,48,"negative",-45,45,1,38
65,11,59,52,52,5,20,"positive",7,7,-1,39
65,12,30,30,48,3,38,"neutral",-18,18,1,8
65,13,14,5,30,2,48,"negative",-16,16,1,34
65,14,70,68,55,4,45,"positive",15,15,-1,25
65,15,56,60,42,5,48,"positive",14,14,-1,8
65,16,56,56,32,4,32,"positive",24,24,-1,24
65,17,25,35,41,3,36,"neutral",-16,16,1,11
65,18,19,20,48,3,23,"neutral",-29,29,1,4
65,19,25,30,49,4,52,"positive",-24,24,1,27
65,20,33,41,44,4,35,"positive",-11,11,1,2
65,21,30,30,33,3,30,"neutral",-3,3,1,0
65,22,56,56,51,4,17,"positive",5,5,-1,39
65,23,20,14,37,3,23,"neutral",-17,17,1,3
65,24,32,31,43,5,17,"positive",-11,11,1,-15
65,25,49,56,39,3,32,"neutral",10,10,-1,17
65,26,77,50,35,4,48,"positive",42,42,-1,29
65,27,43,42,30,3,42,"neutral",13,13,-1,1
65,28,42,48,70,4,52,"positive",-28,28,1,10
65,29,4,4,10,3,36,"neutral",-6,6,1,32
65,30,20,32,23,5,23,"positive",-3,3,1,3
65,31,60,66,23,4,49,"positive",37,37,-1,11
65,32,66,56,36,5,41,"positive",30,30,-1,25
65,33,35,69,33,5,45,"positive",2,2,-1,-10
65,34,48,42,36,3,42,"neutral",12,12,-1,6
65,35,4,77,45,3,32,"neutral",-41,41,1,28
65,36,58,45,43,4,18,"positive",15,15,-1,40
65,37,70,68,38,3,26,"neutral",32,32,-1,44
65,38,20,35,33,3,70,"neutral",-13,13,1,50
65,39,23,20,47,3,26,"neutral",-24,24,1,3
66,1,77,60,56,4,65,"positive",21,21,-1,12
66,2,20,52,29,4,23,"positive",-9,9,1,3
66,3,30,20,20,3,30,"neutral",10,10,-1,0
66,4,77,65,17,3,33,"neutral",60,60,-1,44
66,5,3,20,38,2,20,"negative",-35,35,1,17
66,6,30,40,26,4,20,"positive",4,4,-1,10
66,7,60,60,62,5,68,"positive",-2,2,1,8
66,8,43,40,59,3,45,"neutral",-16,16,1,2
66,9,23,23,65,3,60,"neutral",-42,42,1,37
66,10,56,55,55,2,42,"negative",1,1,-1,14
66,11,10,40,52,4,70,"positive",-42,42,1,60
66,12,65,60,48,3,64,"neutral",17,17,-1,1
66,13,3,10,30,2,20,"negative",-27,27,1,17
66,14,38,29,55,4,36,"positive",-17,17,1,-2
66,15,3,29,42,3,4,"neutral",-39,39,1,1
66,16,70,65,32,4,50,"positive",38,38,-1,20
66,17,9,9,41,3,65,"neutral",-32,32,1,56
66,18,60,40,48,3,48,"neutral",12,12,-1,12
66,19,56,50,49,5,77,"positive",7,7,-1,-21
66,20,40,65,44,4,32,"positive",-4,4,1,-8
66,21,24,20,33,3,32,"neutral",-9,9,1,8
66,22,77,45,51,3,41,"neutral",26,26,-1,36
66,23,45,36,37,3,58,"neutral",8,8,-1,-13
66,24,60,60,43,3,38,"neutral",17,17,-1,22
66,25,70,60,39,2,42,"negative",31,31,-1,28
66,26,39,36,35,3,36,"neutral",4,4,-1,3
66,27,50,46,30,4,35,"positive",20,20,-1,15
66,28,20,20,70,3,73,"neutral",-50,50,1,53
66,29,23,23,10,3,9,"neutral",13,13,-1,14
66,30,10,10,23,3,20,"neutral",-13,13,1,10
66,31,50,43,23,3,36,"neutral",27,27,-1,14
66,32,35,30,36,3,26,"neutral",-1,1,1,-9
66,33,72,60,33,3,60,"neutral",39,39,-1,12
66,34,30,26,36,3,29,"neutral",-6,6,1,-1
66,35,3,50,45,2,10,"negative",-42,42,1,7
66,36,3,67,43,1,3,"negative",-40,40,1,0
66,37,8,10,38,3,43,"neutral",-30,30,1,35
66,38,36,35,33,3,36,"neutral",3,3,-1,0
66,39,20,30,47,2,56,"negative",-27,27,1,36
67,1,10,45,56,4,46,"positive",-46,46,1,36
67,2,13,15,29,2,15,"negative",-16,16,1,2
67,3,65,24,20,4,21,"positive",45,45,-1,44
67,4,77,77,17,2,20,"negative",60,60,-1,57
67,5,65,45,38,4,60,"positive",27,27,-1,5
67,6,40,60,26,4,46,"positive",14,14,-1,-6
67,7,77,66,62,5,45,"positive",15,15,-1,32
67,8,14,46,59,2,16,"negative",-45,45,1,2
67,9,36,25,65,4,26,"positive",-29,29,1,-10
67,10,48,77,55,4,18,"positive",-7,7,1,-30
67,11,62,54,52,4,53,"positive",10,10,-1,9
67,12,26,45,48,4,14,"positive",-22,22,1,-12
67,13,34,26,30,3,46,"neutral",4,4,-1,-12
67,14,58,65,55,4,74,"positive",3,3,-1,-16
67,15,46,56,42,5,26,"positive",4,4,-1,20
67,16,34,56,32,3,52,"neutral",2,2,-1,-18
67,17,62,35,41,4,15,"positive",21,21,-1,47
67,18,77,45,48,2,54,"negative",29,29,-1,23
67,19,68,74,49,4,25,"positive",19,19,-1,43
67,20,23,14,44,3,12,"neutral",-21,21,1,-11
67,21,60,50,33,4,55,"positive",27,27,-1,5
67,22,50,50,51,3,17,"neutral",-1,1,1,-33
67,23,45,61,37,5,45,"positive",8,8,-1,0
67,24,26,41,43,4,46,"positive",-17,17,1,20
67,25,5,4,39,2,16,"negative",-34,34,1,11
67,26,41,26,35,2,62,"negative",6,6,-1,-21
67,27,18,23,30,3,16,"neutral",-12,12,1,-2
67,28,3,38,70,2,41,"negative",-67,67,1,38
67,29,26,72,10,2,13,"negative",16,16,-1,13
67,30,37,42,23,4,10,"positive",14,14,-1,27
67,31,77,77,23,5,18,"positive",54,54,-1,59
67,32,30,20,36,2,18,"negative",-6,6,1,-12
67,33,65,21,33,2,19,"negative",32,32,-1,46
67,34,47,26,36,2,46,"negative",11,11,-1,1
67,35,77,77,45,5,42,"positive",32,32,-1,35
67,36,23,45,43,2,23,"negative",-20,20,1,0
67,37,43,26,38,4,41,"positive",5,5,-1,2
67,38,35,14,33,2,12,"negative",2,2,-1,23
67,39,24,40,47,3,45,"neutral",-23,23,1,21
68,1,33,45,56,3,40,"neutral",-23,23,1,7
68,2,45,56,29,4,33,"positive",16,16,-1,12
68,3,50,65,20,4,45,"positive",30,30,-1,5
68,4,77,77,17,3,42,"neutral",60,60,-1,35
68,5,28,53,38,4,43,"positive",-10,10,1,15
68,6,33,40,26,4,45,"positive",7,7,-1,-12
68,7,42,60,62,2,56,"negative",-20,20,1,14
68,8,3,3,59,4,40,"positive",-56,56,1,37
68,9,33,28,65,3,55,"neutral",-32,32,1,22
68,10,65,77,55,4,42,"positive",10,10,-1,23
68,11,36,54,52,4,56,"positive",-16,16,1,20
68,12,53,3,48,3,55,"neutral",5,5,-1,-2
68,13,33,33,30,4,40,"positive",3,3,-1,-7
68,14,33,50,55,1,33,"negative",-22,22,1,0
68,15,65,68,42,4,33,"positive",23,23,-1,32
68,16,43,77,32,4,60,"positive",11,11,-1,-17
68,17,33,45,41,3,55,"neutral",-8,8,1,22
68,18,45,45,48,4,55,"positive",-3,3,1,10
68,19,42,63,49,4,45,"positive",-7,7,1,3
68,20,33,45,44,3,45,"neutral",-11,11,1,12
68,21,60,77,33,5,65,"positive",27,27,-1,-5
68,22,42,55,51,3,40,"neutral",-9,9,1,-2
68,23,55,35,37,3,33,"neutral",18,18,-1,22
68,24,34,65,43,4,77,"positive",-9,9,1,43
68,25,40,77,39,4,65,"positive",1,1,-1,-25
68,26,50,62,35,4,50,"positive",15,15,-1,0
68,27,42,45,30,4,33,"positive",12,12,-1,9
68,28,33,50,70,4,65,"positive",-37,37,1,32
68,29,35,42,10,3,68,"neutral",25,25,-1,-33
68,30,77,77,23,3,65,"neutral",54,54,-1,12
68,31,45,65,23,3,75,"neutral",22,22,-1,-30
68,32,54,42,36,3,33,"neutral",18,18,-1,21
68,33,66,66,33,4,65,"positive",33,33,-1,1
68,34,40,55,36,4,65,"positive",4,4,-1,-25
68,35,33,45,45,3,33,"neutral",-12,12,1,0
68,36,33,33,43,3,40,"neutral",-10,10,1,7
68,37,40,65,38,3,33,"neutral",2,2,-1,7
68,38,33,40,33,2,40,"negative",0,0,0,0
68,39,33,45,47,2,35,"negative",-14,14,1,2
69,1,50,70,56,4,50,"positive",-6,6,1,0
69,2,3,60,29,3,3,"neutral",-26,26,1,0
69,3,40,40,20,3,20,"neutral",20,20,-1,20
69,4,50,77,17,4,70,"positive",33,33,-1,-20
69,5,3,40,38,2,3,"negative",-35,35,1,0
69,6,3,25,26,4,3,"positive",-23,23,1,0
69,7,70,70,62,4,66,"positive",8,8,-1,4
69,8,10,25,59,4,60,"positive",-49,49,1,50
69,9,20,55,65,3,60,"neutral",-45,45,1,40
69,10,77,77,55,4,50,"positive",22,22,-1,27
69,11,70,70,52,4,55,"positive",18,18,-1,15
69,12,50,65,48,3,60,"neutral",2,2,-1,-10
69,13,3,3,30,3,60,"neutral",-27,27,1,57
69,14,20,30,55,4,40,"positive",-35,35,1,20
69,15,3,60,42,3,20,"neutral",-39,39,1,17
69,16,3,30,32,4,3,"positive",-29,29,1,0
69,17,40,40,41,4,60,"positive",-1,1,1,20
69,18,70,70,48,4,10,"positive",22,22,-1,60
69,19,40,50,49,4,20,"positive",-9,9,1,-20
69,20,50,77,44,3,40,"neutral",6,6,-1,10
69,21,10,77,33,2,40,"negative",-23,23,1,30
69,22,3,30,51,3,25,"neutral",-48,48,1,22
69,23,50,20,37,3,40,"neutral",13,13,-1,10
69,24,70,70,43,3,40,"neutral",27,27,-1,30
69,25,5,35,39,4,60,"positive",-34,34,1,55
69,26,10,77,35,3,50,"neutral",-25,25,1,40
69,27,3,10,30,4,60,"positive",-27,27,1,57
69,28,77,77,70,4,60,"positive",7,7,-1,17
69,29,20,60,10,4,20,"positive",10,10,-1,0
69,30,3,20,23,4,20,"positive",-20,20,1,17
69,31,20,20,23,4,77,"positive",-3,3,1,57
69,32,20,60,36,3,30,"neutral",-16,16,1,10
69,33,50,10,33,3,30,"neutral",17,17,-1,20
69,34,10,25,36,4,77,"positive",-26,26,1,67
69,35,77,65,45,3,77,"neutral",32,32,-1,0
69,36,77,65,43,2,60,"negative",34,34,-1,17
69,37,3,20,38,3,20,"neutral",-35,35,1,17
69,38,20,60,33,3,40,"neutral",-13,13,1,20
69,39,77,65,47,2,70,"negative",30,30,-1,7
70,1,40,40,56,3,40,"neutral",-16,16,1,0
70,2,33,33,29,3,40,"neutral",4,4,-1,-7
70,3,66,66,20,3,44,"neutral",46,46,-1,22
70,4,77,77,17,5,25,"positive",60,60,-1,52
70,5,20,40,38,3,35,"neutral",-18,18,1,15
70,6,10,10,26,3,50,"neutral",-16,16,1,40
70,7,20,20,62,3,44,"neutral",-42,42,1,24
70,8,33,33,59,4,44,"positive",-26,26,1,11
70,9,20,20,65,3,30,"neutral",-45,45,1,10
70,10,3,3,55,4,44,"positive",-52,52,1,41
70,11,44,44,52,4,44,"positive",-8,8,1,0
70,12,25,25,48,3,35,"neutral",-23,23,1,10
70,13,33,33,30,3,42,"neutral",3,3,-1,-9
70,14,33,33,55,4,56,"positive",-22,22,1,23
70,15,44,44,42,4,44,"positive",2,2,-1,0
70,16,65,65,32,5,35,"positive",33,33,-1,30
70,17,23,23,41,3,40,"neutral",-18,18,1,17
70,18,44,44,48,4,44,"positive",-4,4,1,0
70,19,20,20,49,2,33,"negative",-29,29,1,13
70,20,35,35,44,3,40,"neutral",-9,9,1,5
70,21,50,50,33,4,40,"positive",17,17,-1,10
70,22,25,25,51,3,35,"neutral",-26,26,1,10
70,23,33,33,37,3,20,"neutral",-4,4,1,-13
70,24,44,44,43,3,35,"neutral",1,1,-1,9
70,25,35,35,39,3,44,"neutral",-4,4,1,9
70,26,44,44,35,4,44,"positive",9,9,-1,0
70,27,3,3,30,3,35,"neutral",-27,27,1,32
70,28,3,3,70,4,44,"positive",-67,67,1,41
70,29,45,44,10,3,37,"neutral",35,35,-1,8
70,30,20,20,23,2,20,"negative",-3,3,1,0
70,31,3,3,23,2,55,"negative",-20,20,1,52
70,32,40,40,36,3,50,"neutral",4,4,-1,-10
70,33,3,3,33,4,35,"positive",-30,30,1,32
70,34,33,33,36,3,44,"neutral",-3,3,1,11
70,35,44,44,45,4,35,"positive",-1,1,1,-9
70,36,33,33,43,3,40,"neutral",-10,10,1,7
70,37,3,3,38,2,40,"negative",-35,35,1,37
70,38,20,20,33,3,40,"neutral",-13,13,1,20
70,39,40,40,47,4,60,"positive",-7,7,1,20
71,1,70,60,56,4,60,"positive",14,14,-1,10
71,2,60,50,29,4,50,"positive",31,31,-1,10
71,3,33,30,20,3,30,"neutral",13,13,-1,3
71,4,77,70,17,4,60,"positive",60,60,-1,17
71,5,30,30,38,4,30,"positive",-8,8,1,0
71,6,70,50,26,3,50,"neutral",44,44,-1,20
71,7,60,50,62,4,60,"positive",-2,2,1,0
71,8,30,30,59,3,40,"neutral",-29,29,1,10
71,9,40,40,65,3,40,"neutral",-25,25,1,0
71,10,30,30,55,2,40,"negative",-25,25,1,10
71,11,60,60,52,2,30,"negative",8,8,-1,30
71,12,30,30,48,3,30,"neutral",-18,18,1,0
71,13,30,30,30,3,49,"neutral",0,0,0,0
71,14,70,60,55,4,50,"positive",15,15,-1,20
71,15,50,50,42,4,60,"positive",8,8,-1,-10
71,16,40,30,32,4,40,"positive",8,8,-1,0
71,17,30,40,41,3,40,"neutral",-11,11,1,10
71,18,55,45,48,3,50,"neutral",7,7,-1,5
71,19,50,50,49,4,50,"positive",1,1,-1,0
71,20,40,30,44,4,40,"positive",-4,4,1,0
71,21,40,30,33,4,40,"positive",7,7,-1,0
71,22,40,30,51,4,40,"positive",-11,11,1,0
71,23,30,30,37,3,30,"neutral",-7,7,1,0
71,24,30,30,43,4,30,"positive",-13,13,1,0
71,25,60,70,39,3,40,"neutral",21,21,-1,20
71,26,60,60,35,3,50,"neutral",25,25,-1,10
71,27,60,60,30,3,40,"neutral",30,30,-1,20
71,28,45,40,70,3,30,"neutral",-25,25,1,-15
71,29,70,60,10,3,30,"neutral",60,60,-1,40
71,30,40,40,23,3,40,"neutral",17,17,-1,0
71,31,60,50,23,3,30,"neutral",37,37,-1,30
71,32,30,30,36,3,30,"neutral",-6,6,1,0
71,33,50,40,33,3,40,"neutral",17,17,-1,10
71,34,50,50,36,3,40,"neutral",14,14,-1,10
71,35,77,77,45,5,70,"positive",32,32,-1,7
71,36,30,30,43,3,30,"neutral",-13,13,1,0
71,37,30,30,38,3,50,"neutral",-8,8,1,20
71,38,55,45,33,3,40,"neutral",22,22,-1,15
71,39,70,60,47,3,50,"neutral",23,23,-1,20
72,1,3,50,56,3,3,"neutral",-53,53,1,0
72,2,77,77,29,4,77,"positive",48,48,-1,0
72,3,77,77,20,3,77,"neutral",57,57,-1,0
72,4,77,77,17,5,77,"positive",60,60,-1,0
72,5,3,77,38,5,3,"positive",-35,35,1,0
72,6,59,41,26,5,50,"positive",33,33,-1,9
72,7,3,3,62,5,77,"positive",-59,59,1,74
72,8,5,35,59,4,3,"positive",-54,54,1,-2
72,9,10,30,65,4,3,"positive",-55,55,1,-7
72,10,50,50,55,5,50,"positive",-5,5,1,0
72,11,3,30,52,3,3,"neutral",-49,49,1,0
72,12,50,50,48,5,3,"positive",2,2,-1,47
72,13,77,77,30,5,50,"positive",47,47,-1,27
72,14,66,66,55,3,77,"neutral",11,11,-1,-11
72,15,67,77,42,5,50,"positive",25,25,-1,17
72,16,5,77,32,5,3,"positive",-27,27,1,-2
72,17,77,77,41,5,50,"positive",36,36,-1,27
72,18,77,77,48,5,77,"positive",29,29,-1,0
72,19,77,47,49,5,77,"positive",28,28,-1,0
72,20,3,3,44,5,50,"positive",-41,41,1,47
72,21,70,70,33,3,77,"neutral",37,37,-1,-7
72,22,30,67,51,3,77,"neutral",-21,21,1,47
72,23,56,3,37,3,3,"neutral",19,19,-1,53
72,24,17,14,43,3,77,"neutral",-26,26,1,60
72,25,12,12,39,5,50,"positive",-27,27,1,38
72,26,77,77,35,3,77,"neutral",42,42,-1,0
72,27,3,35,30,3,77,"neutral",-27,27,1,74
72,28,77,77,70,3,77,"neutral",7,7,-1,0
72,29,50,50,10,3,77,"neutral",40,40,-1,-27
72,30,3,50,23,2,25,"negative",-20,20,1,22
72,31,46,46,23,3,67,"neutral",23,23,-1,-21
72,32,3,3,36,3,77,"neutral",-33,33,1,74
72,33,77,50,33,3,77,"neutral",44,44,-1,0
72,34,25,50,36,5,30,"positive",-11,11,1,5
72,35,77,77,45,3,77,"neutral",32,32,-1,0
72,36,20,30,43,3,77,"neutral",-23,23,1,57
72,37,77,10,38,4,3,"positive",39,39,-1,74
72,38,3,10,33,5,32,"positive",-30,30,1,29
72,39,77,77,47,3,77,"neutral",30,30,-1,0
73,1,3,20,56,4,45,"positive",-53,53,1,42
73,2,5,60,29,4,20,"positive",-24,24,1,15
73,3,5,50,20,4,20,"positive",-15,15,1,15
73,4,5,50,17,4,15,"positive",-12,12,1,10
73,5,3,20,38,3,30,"neutral",-35,35,1,27
73,6,3,20,26,3,15,"neutral",-23,23,1,12
73,7,4,35,62,4,50,"positive",-58,58,1,46
73,8,4,30,59,3,45,"neutral",-55,55,1,41
73,9,4,15,65,4,50,"positive",-61,61,1,46
73,10,5,75,55,2,20,"negative",-50,50,1,15
73,11,3,5,52,2,15,"negative",-49,49,1,12
73,12,4,20,48,3,20,"neutral",-44,44,1,16
73,13,4,25,30,3,33,"neutral",-26,26,1,29
73,14,5,50,55,4,46,"positive",-50,50,1,41
73,15,3,25,42,3,40,"neutral",-39,39,1,37
73,16,5,60,32,3,20,"neutral",-27,27,1,15
73,17,4,30,41,4,40,"positive",-37,37,1,36
73,18,4,20,48,5,45,"positive",-44,44,1,41
73,19,4,20,49,3,33,"neutral",-45,45,1,29
73,20,4,33,44,3,40,"neutral",-40,40,1,36
73,21,4,25,33,4,25,"positive",-29,29,1,21
73,22,3,20,51,3,50,"neutral",-48,48,1,47
73,23,4,5,37,2,30,"negative",-33,33,1,26
73,24,4,50,43,4,40,"positive",-39,39,1,36
73,25,3,20,39,3,39,"neutral",-36,36,1,36
73,26,4,40,35,4,35,"positive",-31,31,1,31
73,27,3,20,30,3,25,"neutral",-27,27,1,22
73,28,4,40,70,5,45,"positive",-66,66,1,41
73,29,3,15,10,4,40,"positive",-7,7,1,37
73,30,4,50,23,2,15,"negative",-19,19,1,11
73,31,4,20,23,4,23,"positive",-19,19,1,19
73,32,4,40,36,3,25,"neutral",-32,32,1,21
73,33,4,33,33,5,33,"positive",-29,29,1,29
73,34,3,20,36,3,39,"neutral",-33,33,1,36
73,35,4,60,45,4,30,"positive",-41,41,1,26
73,36,4,40,43,2,25,"negative",-39,39,1,21
73,37,3,15,38,3,35,"neutral",-35,35,1,32
73,38,3,25,33,3,35,"neutral",-30,30,1,32
73,39,4,33,47,3,30,"neutral",-43,43,1,26
74,1,20,60,56,4,10,"positive",-36,36,1,-10
74,2,30,45,29,3,20,"neutral",1,1,-1,10
74,3,40,30,20,4,20,"positive",20,20,-1,20
74,4,77,60,17,4,70,"positive",60,60,-1,7
74,5,3,30,38,4,10,"positive",-35,35,1,7
74,6,30,30,26,3,30,"neutral",4,4,-1,0
74,7,77,70,62,4,69,"positive",15,15,-1,8
74,8,30,40,59,4,40,"positive",-29,29,1,10
74,9,30,20,65,2,40,"negative",-35,35,1,10
74,10,70,60,55,2,70,"negative",15,15,-1,0
74,11,66,40,52,4,20,"positive",14,14,-1,46
74,12,15,35,48,4,20,"positive",-33,33,1,5
74,13,40,20,30,3,30,"neutral",10,10,-1,10
74,14,70,60,55,2,60,"negative",15,15,-1,10
74,15,70,40,42,3,70,"neutral",28,28,-1,0
74,16,30,50,32,4,30,"positive",-2,2,1,0
74,17,50,20,41,3,30,"neutral",9,9,-1,20
74,18,65,70,48,3,50,"neutral",17,17,-1,15
74,19,5,10,49,2,40,"negative",-44,44,1,35
74,20,40,50,44,3,20,"neutral",-4,4,1,-20
74,21,47,50,33,2,30,"negative",14,14,-1,17
74,22,20,50,51,4,30,"positive",-31,31,1,10
