"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
1,1,5,10,15,26,25,"1",-15
1,2,4,70,23,20,25,"-1",45
1,3,4,25,100,29,100,"1",-75
1,4,2,0,10,78,20,"1",-20
1,5,5,6,14,56,2,"1",4
1,6,2,35,5,29,29,"-1",6
1,7,3,0,25,45,12,"1",-12
1,8,3,99,87,75,89,"-1",10
1,9,4,20,12,29,25,"1",-5
1,10,1,3,12,56,3,"1",0
1,11,4,6,5,31,31,"1",-25
1,12,2,80,80,78,78,"-1",2
1,13,5,12,87,22,60,"1",-48
1,14,1,23,60,41,40,"1",-17
1,15,2,77,78,60,70,"-1",7
1,16,2,28,23,26,26,"-1",2
1,17,1,80,60,43,50,"-1",30
1,18,1,18,18,82,50,"1",-32
1,19,4,90,45,21,50,"-1",40
1,20,3,12,12,40,12,"1",0
1,21,1,60,34,35,50,"-1",10
1,22,2,99,99,60,67,"-1",32
1,23,3,90,70,71,90,"-1",0
1,24,3,1,2,14,14,"1",-13
1,25,1,3,21,14,2,"1",1
1,26,4,99,50,29,99,"-1",0
1,27,3,100,57,45,100,"-1",0
1,28,3,24,50,20,20,"-1",4
1,29,1,99,70,66,99,"-1",0
1,30,3,0,12,48,0,"1",0
1,31,5,40,18,19,20,"-1",20
1,32,4,0,34,33,0,"1",0
1,33,3,0,34,15,0,"1",0
1,34,1,99,23,80,99,"-1",0
1,35,3,10,45,17,20,"1",-10
1,36,4,23,34,26,26,"1",-3
1,37,4,7,12,30,23,"1",-16
1,38,2,99,99,71,90,"-1",9
1,39,1,0,29,43,0,"1",0
1,40,4,76,76,21,50,"-1",26
1,41,4,57,34,17,90,"-1",-33
1,42,5,99,50,13,90,"-1",9
1,43,3,0,12,81,5,"1",-5
1,44,4,21,20,19,19,"-1",2
1,45,4,6,12,19,6,"1",0
1,46,2,0,50,45,0,"1",0
1,47,4,0,45,20,5,"1",-5
1,48,2,0,2,18,50,"1",-50
1,49,4,0,5,11,0,"1",0
1,50,3,0,12,38,0,"1",0
1,51,2,0,34,26,0,"1",0
2,1,1,25,25,26,26,"1",-1
2,2,5,50,25,20,50,"-1",0
2,3,3,0,25,29,0,"1",0
2,4,3,100,90,78,90,"-1",10
2,5,4,35,45,56,45,"1",-10
2,6,2,40,25,29,25,"-1",15
2,7,4,25,35,45,25,"1",0
2,8,3,90,80,75,80,"-1",10
2,9,4,10,15,29,15,"1",-5
2,10,4,20,15,56,20,"1",0
2,11,4,25,20,31,25,"1",0
2,12,3,100,80,78,100,"-1",0
2,13,5,0,4,22,0,"1",0
2,14,1,15,45,41,35,"1",-20
2,15,1,98,27,60,19,"-1",79
2,16,2,35,15,26,30,"-1",5
2,17,1,85,85,43,50,"-1",35
2,18,2,90,20,82,90,"-1",0
2,19,1,0,58,21,0,"1",0
2,20,1,0,25,40,5,"1",-5
2,21,1,90,20,35,90,"-1",0
2,22,1,90,58,60,80,"-1",10
2,23,2,90,45,71,80,"-1",10
2,24,3,50,45,14,20,"-1",30
2,25,4,45,48,14,15,"-1",30
2,26,3,90,80,29,80,"-1",10
2,27,3,20,25,45,45,"1",-25
2,28,3,15,10,20,20,"1",-5
2,29,3,85,80,66,60,"-1",25
2,30,3,100,45,48,100,"-1",0
2,31,2,90,25,19,15,"-1",75
2,32,5,15,10,33,15,"1",0
2,33,3,90,45,15,20,"-1",70
2,34,3,85,65,80,85,"-1",0
2,35,2,15,45,17,15,"1",0
2,36,2,25,25,26,26,"1",-1
2,37,5,35,35,30,30,"-1",5
2,38,2,90,87,71,80,"-1",10
2,39,3,10,10,43,10,"1",0
2,40,5,35,13,21,20,"-1",15
2,41,3,35,25,17,35,"-1",0
2,42,3,100,45,13,100,"-1",0
2,43,3,20,25,81,75,"1",-55
2,44,3,0,15,19,5,"1",-5
2,45,3,60,25,19,20,"-1",40
2,46,5,100,85,45,100,"-1",0
2,47,3,19,19,20,20,"1",-1
