"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
10,39,3,100,70,43,95,"-1",5
10,41,3,95,90,17,85,"-1",10
10,43,3,5,2,81,60,"1",-55
10,44,3,15,20,19,15,"1",0
10,49,3,0,10,11,0,"1",0
10,51,3,100,85,26,60,"-1",40
11,3,3,10,60,29,5,"1",5
11,4,3,40,60,78,40,"1",0
11,12,3,0,80,78,5,"1",-5
11,21,3,85,80,35,70,"-1",15
11,24,3,40,40,14,25,"-1",15
11,25,3,50,40,14,25,"-1",25
11,26,3,100,100,29,100,"-1",0
11,27,3,75,55,45,55,"-1",20
11,28,3,20,20,20,20,"0",0
11,33,3,10,40,15,15,"1",-5
11,34,3,80,80,80,60,"0",20
11,39,3,40,60,43,25,"1",15
11,42,3,75,60,13,40,"-1",35
11,44,3,5,10,19,10,"1",-5
11,47,3,10,70,20,0,"1",10
11,49,3,0,30,11,5,"1",-5
11,50,3,10,45,38,15,"1",-5
11,51,3,50,45,26,50,"-1",0
12,3,3,3,44,29,5,"1",-2
12,4,3,40,45,78,50,"1",-10
12,9,3,20,20,29,20,"1",0
12,12,3,90,75,78,80,"-1",10
12,26,3,100,66,29,100,"-1",0
12,27,3,22,30,45,20,"1",2
12,28,3,20,20,20,15,"0",5
12,31,3,40,70,19,50,"-1",-10
12,34,3,80,80,80,80,"0",0
12,37,3,55,55,30,20,"-1",35
12,40,3,5,20,21,50,"1",-45
12,41,3,30,40,17,50,"-1",-20
12,42,3,5,12,13,15,"1",-10
12,43,3,2,12,81,60,"1",-58
12,44,3,18,18,19,15,"1",3
12,48,3,100,35,18,100,"-1",0
12,49,3,80,20,11,80,"-1",0
12,50,3,5,35,38,10,"1",-5
12,51,3,10,23,26,10,"1",0
13,1,3,0,3,26,0,"1",0
13,8,3,45,25,75,70,"1",-25
13,19,3,60,65,21,20,"-1",40
13,24,3,30,30,14,10,"-1",20
13,26,3,99,67,29,30,"-1",69
13,27,3,99,88,45,98,"-1",1
13,28,3,50,51,20,20,"-1",30
13,30,3,0,38,48,20,"1",-20
13,40,3,87,78,21,30,"-1",57
13,51,3,49,23,26,50,"-1",-1
14,4,3,100,90,78,100,"-1",0
14,8,3,20,50,75,15,"1",5
14,12,3,100,70,78,100,"-1",0
14,24,3,5,5,14,5,"1",0
14,25,3,50,50,14,20,"-1",30
14,26,3,10,20,29,20,"1",-10
14,28,3,20,20,20,15,"0",5
14,30,3,50,40,48,25,"-1",25
14,31,3,100,85,19,0,"-1",100
14,36,3,80,80,26,40,"-1",40
14,37,3,75,75,30,30,"-1",45
14,39,3,90,75,43,100,"-1",-10
14,40,3,50,55,21,40,"-1",10
14,41,3,0,10,17,0,"1",0
14,42,3,5,65,13,0,"1",5
14,43,3,60,75,81,75,"1",-15
14,44,3,15,15,19,15,"1",0
14,48,3,55,40,18,40,"-1",15
14,50,3,0,25,38,0,"1",0
14,51,3,10,20,26,5,"1",5
15,3,3,0,20,29,15,"1",-15
15,4,3,100,80,78,30,"-1",70
15,9,3,10,14,29,15,"1",-5
15,10,3,20,60,56,20,"1",0
15,21,3,60,15,35,50,"-1",10
15,24,3,15,15,14,15,"-1",0
15,26,3,100,25,29,100,"-1",0
15,28,3,20,20,20,20,"0",0
15,33,3,70,70,15,60,"-1",10
15,37,3,70,70,30,30,"-1",40
15,40,3,0,25,21,0,"1",0
15,42,3,100,15,13,60,"-1",40
15,43,3,20,60,81,70,"1",-50
15,44,3,0,15,19,20,"1",-20
15,45,3,80,8,19,40,"-1",40
15,48,3,100,60,18,75,"-1",25
16,3,3,0,27,29,0,"1",0
16,6,3,0,25,29,0,"1",0
16,8,3,100,76,75,80,"-1",20
16,9,3,0,29,29,10,"1",-10
16,10,3,0,45,56,0,"1",0
16,12,3,100,90,78,100,"-1",0
16,24,3,30,30,14,14,"-1",16
16,26,3,100,70,29,100,"-1",0
16,28,3,15,15,20,15,"1",0
16,34,3,60,60,80,80,"1",-20
16,36,3,40,40,26,26,"-1",14
16,37,3,100,67,30,30,"-1",70
16,41,3,100,70,17,100,"-1",0
16,42,3,100,75,13,100,"-1",0
16,44,3,10,15,19,19,"1",-9
16,45,3,100,23,19,100,"-1",0
16,50,3,40,30,38,50,"-1",-10
17,2,3,90,48,20,80,"-1",10
17,4,3,100,100,78,100,"-1",0
17,7,3,0,47,45,0,"1",0
17,8,3,100,45,75,100,"-1",0
17,9,3,100,60,29,100,"-1",0
17,10,3,100,46,56,100,"-1",0
17,12,3,100,100,78,100,"-1",0
17,13,3,9,76,22,80,"1",-71
17,19,3,7,29,21,0,"1",7
17,24,3,8,46,14,50,"1",-42
17,26,3,100,99,29,100,"-1",0
17,27,3,50,48,45,50,"-1",0
17,28,3,40,70,20,50,"-1",-10
17,30,3,100,69,48,100,"-1",0
17,31,3,100,55,19,100,"-1",0
17,32,3,25,50,33,100,"1",-75
17,33,3,100,87,15,100,"-1",0
17,34,3,2,43,80,0,"1",2
17,37,3,5,75,30,20,"1",-15
17,38,3,100,100,71,100,"-1",0
17,40,3,99,55,21,100,"-1",-1
17,41,3,100,100,17,100,"-1",0
17,44,3,90,67,19,50,"-1",40
17,45,3,58,54,19,60,"-1",-2
17,46,3,100,88,45,100,"-1",0
17,47,3,80,32,20,50,"-1",30
17,48,3,80,87,18,100,"-1",-20
17,49,3,9,7,11,0,"1",9
17,50,3,0,7,38,0,"1",0
18,1,3,0,24,26,25,"1",-25
18,7,3,100,60,45,100,"-1",0
18,8,3,100,100,75,100,"-1",0
18,14,3,10,50,41,10,"1",0
18,20,3,100,47,40,75,"-1",25
18,21,3,100,80,35,100,"-1",0
18,24,3,45,33,14,50,"-1",-5
18,28,3,70,60,20,50,"-1",20
18,33,3,60,5,15,50,"-1",10
18,35,3,0,4,17,0,"1",0
18,37,3,50,50,30,50,"-1",0
18,39,3,0,33,43,0,"1",0
18,40,3,80,44,21,80,"-1",0
18,42,3,0,38,13,0,"1",0
18,43,3,25,43,81,70,"1",-45
18,44,3,5,20,19,20,"1",-15
19,12,3,100,70,78,70,"-1",30
19,27,3,10,20,45,50,"1",-40
19,28,3,10,10,20,50,"1",-40
19,43,3,60,50,81,40,"1",20
19,44,3,0,40,19,0,"1",0
19,49,3,10,30,11,10,"1",0
19,50,3,0,20,38,0,"1",0
19,51,3,20,20,26,20,"1",0
20,3,3,33,33,29,0,"-1",33
20,5,3,75,65,56,55,"-1",20
20,8,3,56,88,75,60,"1",-4
20,24,3,37,45,14,30,"-1",7
20,25,3,0,25,14,0,"1",0
20,28,3,88,88,20,25,"-1",63
20,30,3,0,20,48,10,"1",-10
20,33,3,33,44,15,0,"-1",33
20,34,3,67,67,80,80,"1",-13
20,38,3,100,100,71,99,"-1",1
20,39,3,78,78,43,100,"-1",-22
20,41,3,80,90,17,87,"-1",-7
20,42,3,67,67,13,20,"-1",47
20,44,3,13,13,19,33,"1",-20
