"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
1,7,3,0,25,45,12,"1",-12
1,8,3,99,87,75,89,"-1",10
1,20,3,12,12,40,12,"1",0
1,23,3,90,70,71,90,"-1",0
1,24,3,1,2,14,14,"1",-13
1,27,3,100,57,45,100,"-1",0
1,28,3,24,50,20,20,"-1",4
1,30,3,0,12,48,0,"1",0
1,33,3,0,34,15,0,"1",0
1,35,3,10,45,17,20,"1",-10
1,43,3,0,12,81,5,"1",-5
1,50,3,0,12,38,0,"1",0
2,3,3,0,25,29,0,"1",0
2,4,3,100,90,78,90,"-1",10
2,8,3,90,80,75,80,"-1",10
2,12,3,100,80,78,100,"-1",0
2,24,3,50,45,14,20,"-1",30
2,26,3,90,80,29,80,"-1",10
2,27,3,20,25,45,45,"1",-25
2,28,3,15,10,20,20,"1",-5
2,29,3,85,80,66,60,"-1",25
2,30,3,100,45,48,100,"-1",0
2,33,3,90,45,15,20,"-1",70
2,34,3,85,65,80,85,"-1",0
2,39,3,10,10,43,10,"1",0
2,41,3,35,25,17,35,"-1",0
2,42,3,100,45,13,100,"-1",0
2,43,3,20,25,81,75,"1",-55
2,44,3,0,15,19,5,"1",-5
2,45,3,60,25,19,20,"-1",40
2,47,3,19,19,20,20,"1",-1
2,48,3,60,40,18,30,"-1",30
2,49,3,0,12,11,5,"1",-5
2,50,3,50,45,38,35,"-1",15
2,51,3,50,65,26,20,"-1",30
3,8,3,20,65,75,50,"1",-30
3,24,3,15,23,14,15,"-1",0
3,25,3,15,45,14,10,"-1",5
3,28,3,21,21,20,21,"-1",0
3,30,3,5,24,48,30,"1",-25
3,34,3,12,45,80,65,"1",-53
3,38,3,95,86,71,85,"-1",10
3,39,3,32,16,43,35,"1",-3
3,41,3,5,35,17,5,"1",0
3,42,3,5,40,13,10,"1",-5
3,44,3,10,43,19,15,"1",-5
3,45,3,1,15,19,5,"1",-4
3,50,3,10,30,38,25,"1",-15
3,51,3,5,15,26,15,"1",-10
4,16,3,40,40,26,40,"-1",0
4,17,3,70,40,43,60,"-1",10
4,21,3,100,80,35,100,"-1",0
4,24,3,12,12,14,14,"1",-2
4,28,3,60,60,20,50,"-1",10
4,31,3,10,20,19,10,"1",0
4,36,3,90,90,26,40,"-1",50
4,41,3,100,35,17,100,"-1",0
4,44,3,3,8,19,8,"1",-5
5,8,3,50,90,75,50,"1",0
5,12,3,100,80,78,100,"-1",0
5,24,3,4,4,14,4,"1",0
5,26,3,0,90,29,0,"1",0
5,27,3,60,25,45,60,"-1",0
5,28,3,15,15,20,15,"1",0
5,30,3,0,11,48,0,"1",0
5,34,3,70,24,80,80,"1",-10
5,37,3,0,30,30,0,"1",0
5,41,3,100,50,17,100,"-1",0
5,42,3,9,15,13,10,"1",-1
5,43,3,10,77,81,10,"1",0
5,44,3,10,20,19,10,"1",0
5,45,3,0,20,19,0,"1",0
5,47,3,100,60,20,100,"-1",0
5,48,3,0,30,18,0,"1",0
6,4,3,95,95,78,95,"-1",0
6,7,3,0,20,45,0,"1",0
6,8,3,70,70,75,75,"1",-5
6,10,3,10,50,56,10,"1",0
6,12,3,100,95,78,100,"-1",0
6,24,3,10,10,14,14,"1",-4
6,26,3,95,85,29,85,"-1",10
6,28,3,14,14,20,20,"1",-6
6,29,3,10,20,66,20,"1",-10
6,33,3,100,50,15,100,"-1",0
6,34,3,70,60,80,75,"1",-5
6,38,3,99,80,71,99,"-1",0
6,39,3,99,50,43,60,"-1",39
6,42,3,0,30,13,0,"1",0
6,44,3,10,10,19,19,"1",-9
6,47,3,35,35,20,20,"-1",15
6,48,3,100,70,18,100,"-1",0
6,49,3,10,25,11,11,"1",-1
6,50,3,0,40,38,0,"1",0
7,3,3,0,30,29,0,"1",0
7,6,3,20,40,29,30,"1",-10
7,10,3,60,60,56,60,"-1",0
7,12,3,100,90,78,100,"-1",0
7,13,3,0,20,22,10,"1",-10
7,24,3,50,40,14,10,"-1",40
7,28,3,18,18,20,20,"1",-2
7,34,3,80,80,80,80,"0",0
7,35,3,20,30,17,20,"-1",0
7,42,3,10,10,13,10,"1",0
7,44,3,90,30,19,90,"-1",0
7,47,3,30,20,20,20,"-1",10
7,50,3,20,30,38,20,"1",0
8,12,3,0,10,78,10,"1",-10
8,13,3,0,33,22,0,"1",0
8,24,3,15,15,14,14,"-1",1
8,27,3,50,75,45,40,"-1",10
8,28,3,20,40,20,20,"0",0
8,31,3,99,80,19,80,"-1",19
8,35,3,50,50,17,50,"-1",0
8,39,3,75,90,43,60,"-1",15
8,45,3,10,18,19,10,"1",0
8,47,3,0,15,20,0,"1",0
8,49,3,10,10,11,11,"1",-1
8,50,3,0,50,38,0,"1",0
8,51,3,0,40,26,0,"1",0
9,7,3,0,35,45,0,"1",0
9,8,3,53,53,75,75,"1",-22
9,13,3,30,0,22,0,"-1",30
9,24,3,0,20,14,0,"1",0
9,26,3,100,100,29,100,"-1",0
9,27,3,80,75,45,65,"-1",15
9,28,3,0,30,20,0,"1",0
9,34,3,30,40,80,80,"1",-50
9,38,3,100,100,71,89,"-1",11
9,42,3,100,50,13,100,"-1",0
9,44,3,0,20,19,0,"1",0
9,47,3,0,25,20,5,"1",-5
9,48,3,100,40,18,100,"-1",0
9,49,3,0,2,11,0,"1",0
9,51,3,5,20,26,20,"1",-15
10,8,3,45,67,75,45,"1",0
10,9,3,1,10,29,1,"1",0
10,10,3,56,35,56,55,"0",1
10,12,3,100,95,78,98,"-1",2
10,13,3,1,23,22,1,"1",0
10,24,3,13,15,14,13,"1",0
10,26,3,1,43,29,1,"1",0
10,28,3,12,18,20,12,"1",0
10,30,3,50,32,48,50,"-1",0
10,33,3,90,90,15,35,"-1",55
10,34,3,2,21,80,2,"1",0
10,41,3,1,25,17,1,"1",0
10,42,3,9,15,13,8,"1",1
10,43,3,2,5,81,56,"1",-54
10,44,3,15,35,19,12,"1",3
10,47,3,34,35,20,57,"-1",-23
10,48,3,1,35,18,1,"1",0
10,49,3,1,8,11,1,"1",0
10,50,3,1,15,38,1,"1",0
10,51,3,57,34,26,54,"-1",3
11,1,3,80,15,26,80,"-1",0
11,3,3,0,35,29,0,"1",0
11,5,3,100,40,56,100,"-1",0
11,7,3,0,35,45,0,"1",0
11,10,3,60,30,56,60,"-1",0
11,12,3,100,80,78,100,"-1",0
11,13,3,0,20,22,0,"1",0
11,16,3,99,65,26,99,"-1",0
11,17,3,80,50,43,80,"-1",0
11,21,3,100,75,35,100,"-1",0
11,24,3,30,30,14,20,"-1",10
11,25,3,0,20,14,0,"1",0
11,26,3,100,70,29,100,"-1",0
11,27,3,30,60,45,30,"1",0
11,28,3,35,35,20,25,"-1",10
11,30,3,0,20,48,0,"1",0
11,33,3,0,10,15,0,"1",0
11,35,3,15,40,17,20,"1",-5
11,38,3,100,80,71,100,"-1",0
11,39,3,0,25,43,0,"1",0
11,41,3,0,15,17,0,"1",0
11,42,3,0,30,13,0,"1",0
11,43,3,0,15,81,0,"1",0
11,44,3,20,20,19,19,"-1",1
11,45,3,1,10,19,1,"1",0
11,47,3,15,15,20,20,"1",-5
11,48,3,100,40,18,100,"-1",0
11,49,3,0,15,11,0,"1",0
11,50,3,0,30,38,1,"1",-1
11,51,3,0,30,26,0,"1",0
12,1,3,50,20,26,40,"-1",10
12,21,3,60,60,35,60,"-1",0
12,26,3,100,80,29,100,"-1",0
12,28,3,50,50,20,20,"-1",30
12,30,3,5,15,48,5,"1",0
12,33,3,0,5,15,0,"1",0
12,34,3,85,85,80,80,"-1",5
12,36,3,50,50,26,26,"-1",24
12,37,3,90,60,30,90,"-1",0
12,42,3,5,60,13,8,"1",-3
12,44,3,2,6,19,10,"1",-8
12,49,3,0,40,11,0,"1",0
12,50,3,10,30,38,15,"1",-5
12,51,3,50,35,26,26,"-1",24
13,8,3,70,68,75,79,"1",-9
13,9,3,2,10,29,2,"1",0
13,12,3,75,75,78,75,"1",0
13,24,3,20,20,14,14,"-1",6
13,26,3,98,75,29,98,"-1",0
13,27,3,30,25,45,45,"1",-15
13,28,3,50,50,20,20,"-1",30
13,33,3,10,22,15,10,"1",0
13,41,3,96,85,17,75,"-1",21
13,42,3,97,95,13,97,"-1",0
13,43,3,1,2,81,1,"1",0
13,44,3,50,50,19,15,"-1",35
13,45,3,15,24,19,15,"1",0
13,47,3,0,15,20,5,"1",-5
13,49,3,0,10,11,0,"1",0
13,51,3,5,35,26,5,"1",0
14,7,3,0,40,45,0,"1",0
14,8,3,100,100,75,100,"-1",0
14,10,3,5,30,56,5,"1",0
14,12,3,100,90,78,100,"-1",0
14,16,3,25,0,26,0,"1",25
14,24,3,15,15,14,14,"-1",1
14,28,3,15,15,20,20,"1",-5
14,30,3,0,15,48,0,"1",0
14,33,3,0,33,15,0,"1",0
14,34,3,0,10,80,0,"1",0
14,39,3,100,50,43,100,"-1",0
14,40,3,90,90,21,90,"-1",0
14,41,3,100,80,17,100,"-1",0
14,42,3,0,25,13,0,"1",0
14,43,3,0,30,81,0,"1",0
14,44,3,20,20,19,19,"-1",1
14,45,3,0,5,19,5,"1",-5
14,46,3,100,60,45,100,"-1",0
14,47,3,0,12,20,0,"1",0
14,48,3,30,30,18,18,"-1",12
14,50,3,0,15,38,0,"1",0
14,51,3,0,50,26,0,"1",0
15,4,3,60,60,78,78,"1",-18
15,10,3,30,40,56,40,"1",-10
15,12,3,70,70,78,78,"1",-8
15,14,3,10,15,41,30,"1",-20
15,16,3,40,60,26,60,"-1",-20
15,24,3,3,3,14,14,"1",-11
15,26,3,90,70,29,90,"-1",0
15,27,3,70,60,45,60,"-1",10
15,28,3,40,40,20,20,"-1",20
15,33,3,20,20,15,15,"-1",5
15,34,3,5,3,80,10,"1",-5
15,36,3,60,60,26,26,"-1",34
15,42,3,20,20,13,20,"-1",0
15,44,3,10,10,19,19,"1",-9
15,45,3,30,15,19,30,"-1",0
15,49,3,20,30,11,11,"-1",9
15,51,3,40,40,26,26,"-1",14
16,1,3,15,13,26,15,"1",0
16,12,3,40,35,78,40,"1",0
16,16,3,10,15,26,10,"1",0
16,24,3,65,65,14,65,"-1",0
16,25,3,10,25,14,25,"1",-15
16,28,3,5,11,20,5,"1",0
16,29,3,50,50,66,50,"1",0
16,31,3,10,25,19,5,"1",5
16,33,3,10,25,15,5,"1",5
16,34,3,5,16,80,10,"1",-5
16,35,3,35,35,17,25,"-1",10
16,36,3,20,75,26,25,"1",-5
16,38,3,80,85,71,70,"-1",10
16,41,3,10,35,17,5,"1",5
16,42,3,10,15,13,10,"1",0
16,43,3,10,25,81,25,"1",-15
16,44,3,10,15,19,10,"1",0
16,47,3,10,10,20,10,"1",0
16,50,3,0,65,38,0,"1",0
16,51,3,10,45,26,10,"1",0
17,8,3,5,20,75,10,"1",-5
17,9,3,10,20,29,10,"1",0
17,10,3,10,40,56,10,"1",0
17,24,3,20,20,14,14,"-1",6
17,27,3,80,80,45,70,"-1",10
17,28,3,20,20,20,20,"0",0
17,30,3,10,20,48,20,"1",-10
17,32,3,0,20,33,0,"1",0
17,33,3,90,70,15,90,"-1",0
17,38,3,100,95,71,100,"-1",0
17,40,3,0,30,21,0,"1",0
17,42,3,5,10,13,5,"1",0
17,43,3,100,70,81,100,"-1",0
17,44,3,0,30,19,0,"1",0
17,45,3,20,40,19,10,"-1",10
18,8,3,15,40,75,25,"1",-10
18,10,3,0,50,56,0,"1",0
18,12,3,100,95,78,100,"-1",0
18,24,3,50,25,14,28,"-1",22
18,26,3,100,90,29,100,"-1",0
18,28,3,40,40,20,30,"-1",10
18,33,3,50,25,15,50,"-1",0
18,34,3,40,40,80,60,"1",-20
18,42,3,5,60,13,5,"1",0
18,44,3,15,15,19,19,"1",-4
18,49,3,1,4,11,2,"1",-1
18,50,3,0,30,38,0,"1",0
18,51,3,100,50,26,100,"-1",0
19,1,3,50,50,26,39,"-1",11
19,3,3,0,20,29,0,"1",0
19,5,3,100,70,56,90,"-1",10
19,8,3,40,60,75,40,"1",0
19,10,3,60,70,56,60,"-1",0
19,24,3,0,10,14,0,"1",0
19,25,3,5,5,14,5,"1",0
19,27,3,8,45,45,8,"1",0
19,28,3,33,33,20,20,"-1",13
19,31,3,100,50,19,3,"-1",97
19,32,3,100,70,33,100,"-1",0
19,34,3,80,76,80,80,"0",0
19,39,3,50,40,43,54,"-1",-4
19,41,3,6,22,17,6,"1",0
19,42,3,80,80,13,80,"-1",0
19,43,3,70,50,81,70,"1",0
19,44,3,10,30,19,10,"1",0
19,49,3,0,15,11,0,"1",0
19,50,3,0,15,38,0,"1",0
20,8,3,50,82,75,50,"1",0
20,12,3,100,95,78,95,"-1",5
20,17,3,99,75,43,76,"-1",23
20,24,3,10,7,14,10,"1",0
20,25,3,0,15,14,0,"1",0
20,26,3,100,79,29,100,"-1",0
20,28,3,19,19,20,20,"1",-1
20,30,3,0,20,48,1,"1",-1
20,33,3,100,72,15,100,"-1",0
20,34,3,70,86,80,90,"1",-20
20,38,3,100,87,71,100,"-1",0
20,41,3,100,25,17,100,"-1",0
20,43,3,0,76,81,0,"1",0
20,44,3,37,37,19,19,"-1",18
20,45,3,50,38,19,25,"-1",25
20,47,3,67,63,20,14,"-1",53
20,48,3,100,50,18,100,"-1",0
20,50,3,35,35,38,35,"1",0
20,51,3,50,15,26,50,"-1",0
21,3,3,40,60,29,40,"-1",0
21,4,3,100,50,78,100,"-1",0
21,7,3,0,20,45,0,"1",0
21,10,3,20,70,56,20,"1",0
21,24,3,50,30,14,10,"-1",40
21,25,3,60,60,14,50,"-1",10
21,27,3,20,20,45,50,"1",-30
21,28,3,20,14,20,20,"0",0
21,31,3,20,50,19,20,"-1",0
21,33,3,100,70,15,100,"-1",0
21,34,3,0,60,80,0,"1",0
21,37,3,10,50,30,20,"1",-10
21,40,3,0,60,21,0,"1",0
21,41,3,10,25,17,10,"1",0
21,42,3,50,60,13,50,"-1",0
21,43,3,0,50,81,30,"1",-30
21,44,3,60,40,19,60,"-1",0
21,47,3,0,30,20,0,"1",0
21,48,3,90,80,18,80,"-1",10
21,49,3,0,20,11,5,"1",-5
22,12,3,80,80,78,80,"-1",0
22,15,3,80,70,60,70,"-1",10
22,24,3,5,5,14,14,"1",-9
22,26,3,100,100,29,100,"-1",0
22,27,3,20,20,45,40,"1",-20
22,28,3,30,30,20,20,"-1",10
22,31,3,20,15,19,20,"-1",0
22,32,3,100,30,33,90,"-1",10
22,33,3,0,20,15,0,"1",0
22,35,3,0,5,17,0,"1",0
22,39,3,40,50,43,40,"1",0
22,40,3,100,60,21,100,"-1",0
22,41,3,20,15,17,17,"-1",3
22,42,3,100,70,13,100,"-1",0
22,44,3,10,10,19,5,"1",5
22,45,3,20,20,19,20,"-1",0
22,47,3,0,20,20,0,"1",0
22,51,3,20,50,26,20,"1",0
23,3,3,0,28,29,0,"1",0
23,6,3,5,15,29,5,"1",0
23,8,3,99,87,75,99,"-1",0
23,11,3,5,24,31,5,"1",0
23,21,3,95,78,35,95,"-1",0
23,24,3,17,17,14,17,"-1",0
23,26,3,100,86,29,100,"-1",0
23,28,3,19,23,20,20,"1",-1
23,33,3,20,20,15,10,"-1",10
23,36,3,80,88,26,50,"-1",30
23,37,3,25,58,30,30,"1",-5
23,38,3,95,95,71,95,"-1",0
23,40,3,99,78,21,99,"-1",0
23,42,3,95,86,13,99,"-1",-4
23,44,3,0,17,19,1,"1",-1
23,48,3,100,63,18,100,"-1",0
23,49,3,0,22,11,1,"1",-1
23,51,3,50,88,26,50,"-1",0
24,2,3,20,30,20,20,"0",0
24,7,3,15,45,45,20,"1",-5
24,12,3,100,100,78,80,"-1",20
24,15,3,0,34,60,30,"1",-30
24,20,3,100,45,40,50,"-1",50
24,24,3,19,19,14,10,"-1",9
24,26,3,100,100,29,100,"-1",0
24,28,3,19,19,20,19,"1",0
24,34,3,60,50,80,60,"1",0
24,36,3,100,65,26,40,"-1",60
24,41,3,80,80,17,30,"-1",50
24,42,3,20,20,13,10,"-1",10
24,44,3,33,33,19,25,"-1",8
24,45,3,15,19,19,10,"1",5
24,48,3,10,15,18,15,"1",-5
24,49,3,10,30,11,5,"1",5
24,50,3,75,65,38,100,"-1",-25
24,51,3,70,50,26,40,"-1",30
25,6,3,2,30,29,5,"1",-3
25,13,3,0,20,22,0,"1",0
25,24,3,1,2,14,1,"1",0
25,28,3,15,15,20,15,"1",0
