"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
1,3,3,30,50,29,20,"-1",10
1,24,3,15,15,14,10,"-1",5
1,27,3,80,80,45,70,"-1",10
1,28,3,20,20,20,20,"0",0
1,33,3,70,20,15,60,"-1",10
1,34,3,20,30,80,70,"1",-50
1,35,3,50,50,17,50,"-1",0
1,39,3,30,60,43,20,"1",10
1,40,3,5,30,21,10,"1",-5
1,41,3,80,70,17,60,"-1",20
1,42,3,10,30,13,40,"1",-30
1,44,3,20,20,19,20,"-1",0
1,47,3,90,60,20,90,"-1",0
1,50,3,40,30,38,40,"-1",0
2,3,3,45,0,29,23,"-1",22
2,4,3,99,99,78,99,"-1",0
2,6,3,45,67,29,34,"-1",11
2,7,3,20,80,45,2,"1",18
2,12,3,89,89,78,99,"-1",-10
2,21,3,100,90,35,99,"-1",1
2,25,3,67,45,14,34,"-1",33
2,27,3,68,56,45,78,"-1",-10
2,32,3,24,23,33,89,"1",-65
2,34,3,1,1,80,1,"1",0
2,35,3,90,70,17,2,"-1",88
2,40,3,99,67,21,99,"-1",0
2,41,3,99,80,17,99,"-1",0
2,47,3,1,35,20,2,"1",-1
2,51,3,2,54,26,12,"1",-10
3,12,3,50,85,78,65,"1",-15
3,24,3,23,23,14,25,"-1",-2
3,26,3,100,85,29,100,"-1",0
3,27,3,60,85,45,50,"-1",10
3,28,3,15,15,20,15,"1",0
3,29,3,65,85,66,50,"1",15
3,33,3,100,35,15,0,"-1",100
3,34,3,23,23,80,75,"1",-52
3,35,3,0,75,17,0,"1",0
3,38,3,100,100,71,50,"-1",50
3,41,3,100,65,17,100,"-1",0
3,42,3,5,20,13,15,"1",-10
3,43,3,90,85,81,100,"-1",-10
3,44,3,100,25,19,25,"-1",75
3,47,3,10,20,20,10,"1",0
3,49,3,0,10,11,0,"1",0
4,3,3,0,15,29,0,"1",0
4,5,3,75,50,56,50,"-1",25
4,6,3,85,62,29,80,"-1",5
4,7,3,0,30,45,0,"1",0
4,13,3,0,12,22,0,"1",0
4,24,3,15,7,14,14,"-1",1
4,28,3,10,10,20,20,"1",-10
4,36,3,75,82,26,60,"-1",15
4,39,3,50,40,43,85,"-1",-35
4,42,3,25,35,13,20,"-1",5
4,44,3,10,10,19,20,"1",-10
4,45,3,50,45,19,50,"-1",0
4,47,3,0,20,20,0,"1",0
4,49,3,15,20,11,10,"-1",5
5,8,3,100,100,75,62,"-1",38
5,12,3,90,90,78,76,"-1",14
5,24,3,12,20,14,4,"1",8
5,28,3,40,43,20,7,"-1",33
5,44,3,8,13,19,1,"1",7
5,48,3,2,8,18,16,"1",-14
5,50,3,5,65,38,17,"1",-12
5,51,3,5,37,26,16,"1",-11
6,7,3,70,55,45,25,"-1",45
6,9,3,15,50,29,10,"1",5
6,12,3,75,75,78,75,"1",0
6,16,3,25,5,26,15,"1",10
6,24,3,10,10,14,10,"1",0
6,26,3,90,75,29,99,"-1",-9
6,28,3,20,20,20,10,"0",10
6,29,3,99,40,66,99,"-1",0
6,31,3,80,75,19,50,"-1",30
6,32,3,2,20,33,80,"1",-78
6,33,3,1,25,15,1,"1",0
6,36,3,90,90,26,10,"-1",80
6,37,3,50,75,30,30,"-1",20
6,38,3,25,15,71,75,"1",-50
6,39,3,90,70,43,99,"-1",-9
6,41,3,70,40,17,50,"-1",20
6,42,3,1,30,13,20,"1",-19
6,44,3,15,15,19,10,"1",5
6,47,3,20,10,20,15,"0",5
6,51,3,60,50,26,20,"-1",40
7,3,3,0,40,29,0,"1",0
7,28,3,45,45,20,30,"-1",15
7,30,3,0,35,48,0,"1",0
7,31,3,50,50,19,70,"-1",-20
7,32,3,80,20,33,80,"-1",0
7,33,3,80,65,15,30,"-1",50
7,35,3,40,50,17,50,"-1",-10
7,41,3,80,30,17,50,"-1",30
7,42,3,20,25,13,65,"-1",-45
7,44,3,50,50,19,60,"-1",-10
7,47,3,0,20,20,0,"1",0
7,50,3,0,15,38,0,"1",0
8,15,3,95,66,60,90,"-1",5
8,16,3,10,30,26,20,"1",-10
8,21,3,15,40,35,30,"1",-15
8,24,3,10,15,14,10,"1",0
8,26,3,0,75,29,10,"1",-10
8,28,3,60,60,20,30,"-1",30
8,36,3,60,70,26,15,"-1",45
8,37,3,90,70,30,40,"-1",50
8,41,3,100,88,17,100,"-1",0
8,42,3,100,50,13,15,"-1",85
8,44,3,20,30,19,20,"-1",0
8,45,3,20,40,19,20,"-1",0
8,47,3,20,60,20,20,"0",0
8,48,3,100,30,18,80,"-1",20
9,24,3,10,18,14,10,"1",0
9,26,3,100,85,29,85,"-1",15
9,27,3,3,30,45,10,"1",-7
9,28,3,10,10,20,20,"1",-10
9,29,3,60,70,66,50,"1",10
9,33,3,5,20,15,20,"1",-15
9,34,3,60,65,80,60,"1",0
9,35,3,60,30,17,30,"-1",30
9,36,3,20,30,26,20,"1",0
9,37,3,70,80,30,30,"-1",40
9,38,3,30,40,71,20,"1",10
9,42,3,20,40,13,5,"-1",15
9,44,3,3,11,19,10,"1",-7
9,47,3,1,30,20,1,"1",0
9,48,3,99,29,18,80,"-1",19
9,51,3,10,35,26,10,"1",0
10,1,3,40,40,26,26,"-1",14
10,4,3,100,75,78,75,"-1",25
10,24,3,30,30,14,20,"-1",10
10,26,3,100,75,29,100,"-1",0
10,27,3,45,30,45,40,"0",5
10,28,3,23,23,20,20,"-1",3
10,29,3,50,40,66,56,"1",-6
10,31,3,75,50,19,60,"-1",15
10,33,3,30,30,15,25,"-1",5
10,35,3,0,30,17,10,"1",-10
10,36,3,20,20,26,20,"1",0
10,38,3,95,95,71,95,"-1",0
10,41,3,75,40,17,75,"-1",0
10,42,3,100,15,13,95,"-1",5
10,43,3,75,50,81,80,"1",-5
10,44,3,10,10,19,20,"1",-10
10,47,3,10,20,20,10,"1",0
10,51,3,35,50,26,20,"-1",15
11,8,3,50,60,75,40,"1",10
11,12,3,70,70,78,50,"1",20
11,24,3,15,20,14,20,"-1",-5
11,26,3,95,80,29,25,"-1",70
11,28,3,80,70,20,50,"-1",30
11,30,3,10,20,48,45,"1",-35
11,31,3,10,15,19,80,"1",-70
11,33,3,10,15,15,40,"1",-30
11,34,3,80,65,80,75,"0",5
11,41,3,60,50,17,80,"-1",-20
11,42,3,80,75,13,50,"-1",30
11,44,3,5,25,19,19,"1",-14
11,45,3,60,40,19,25,"-1",35
11,48,3,5,10,18,20,"1",-15
11,49,3,3,5,11,5,"1",-2
12,3,3,40,10,29,5,"-1",35
12,6,3,60,50,29,50,"-1",10
12,8,3,99,75,75,99,"-1",0
12,9,3,30,30,29,50,"-1",-20
12,12,3,100,100,78,100,"-1",0
12,13,3,10,2,22,5,"1",5
12,16,3,15,10,26,10,"1",5
12,20,3,10,20,40,10,"1",0
12,24,3,10,10,14,20,"1",-10
12,25,3,75,50,14,20,"-1",55
12,27,3,15,30,45,10,"1",5
12,28,3,10,10,20,14,"1",-4
12,30,3,10,10,48,10,"1",0
12,31,3,60,60,19,50,"-1",10
12,32,3,75,25,33,75,"-1",0
12,33,3,10,50,15,15,"1",-5
12,34,3,10,10,80,10,"1",0
12,35,3,1,25,17,1,"1",0
12,37,3,60,60,30,20,"-1",40
12,39,3,0,30,43,1,"1",-1
12,40,3,2,10,21,10,"1",-8
12,41,3,0,40,17,10,"1",-10
12,42,3,2,25,13,10,"1",-8
12,43,3,100,75,81,100,"-1",0
12,44,3,60,40,19,20,"-1",40
12,47,3,50,50,20,50,"-1",0
12,48,3,50,25,18,25,"-1",25
12,49,3,1,10,11,10,"1",-9
13,10,3,90,70,56,75,"-1",15
13,24,3,3,29,14,0,"1",3
13,25,3,2,5,14,9,"1",-7
13,26,3,0,75,29,0,"1",0
13,28,3,17,50,20,25,"1",-8
13,30,3,0,34,48,0,"1",0
13,33,3,30,60,15,20,"-1",10
13,34,3,55,45,80,80,"1",-25
13,37,3,29,29,30,30,"1",-1
13,38,3,70,80,71,85,"1",-15
13,39,3,0,70,43,0,"1",0
13,41,3,45,67,17,35,"-1",10
13,43,3,100,100,81,100,"-1",0
13,44,3,1,12,19,20,"1",-19
13,45,3,5,10,19,1,"1",4
13,47,3,1,38,20,20,"1",-19
13,48,3,50,30,18,25,"-1",25
13,49,3,0,13,11,0,"1",0
13,51,3,50,50,26,26,"-1",24
14,3,3,10,30,29,10,"1",0
14,7,3,0,40,45,0,"1",0
14,9,3,20,20,29,20,"1",0
14,12,3,100,89,78,80,"-1",20
14,21,3,80,80,35,70,"-1",10
14,24,3,4,5,14,30,"1",-26
14,28,3,60,60,20,20,"-1",40
14,29,3,99,80,66,80,"-1",19
14,31,3,10,50,19,88,"1",-78
14,34,3,50,50,80,50,"1",0
14,36,3,70,70,26,50,"-1",20
14,38,3,100,85,71,86,"-1",14
14,41,3,90,20,17,50,"-1",40
14,42,3,100,60,13,89,"-1",11
14,44,3,26,30,19,10,"-1",16
14,47,3,30,50,20,25,"-1",5
14,50,3,20,40,38,40,"1",-20
14,51,3,60,60,26,16,"-1",44
15,7,3,0,30,45,0,"1",0
15,23,3,100,100,71,100,"-1",0
15,24,3,10,10,14,10,"1",0
15,26,3,90,90,29,100,"-1",-10
15,28,3,40,40,20,40,"-1",0
15,29,3,78,78,66,80,"-1",-2
